"filename", "language", "CSV", "comment", "blank", "total"
"/dLight/modulusDesignOptimization/ansys/channelFM.csv", "CSV", 550462, 0, 3, 550465
"/dLight/modulusDesignOptimization/ansys/channelXZ.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/constraints/co1/co1_5-5-28-12-22-22-20-20.csv", "CSV", 24127, 0, 3, 24130
"/dLight/modulusDesignOptimization/ansys/constraints/co2/co2_5-5-28-12-22-22-20-20.csv", "CSV", 24206, 0, 3, 24209
"/dLight/modulusDesignOptimization/ansys/constraints/thetaF_3-3-12-12-10-10-20-20.csv", "CSV", 694950, 0, 3, 694953
"/dLight/modulusDesignOptimization/ansys/constraints/thetaF_3-3-28-12-10-10-20-20.csv", "CSV", 694865, 0, 3, 694868
"/dLight/modulusDesignOptimization/ansys/constraints/thetaF_3-3-28-28-22-22-11-11.csv", "CSV", 694865, 0, 3, 694868
"/dLight/modulusDesignOptimization/ansys/constraints/thetaF_5-5-12-12-22-22-11-11.csv", "CSV", 694865, 0, 3, 694868
"/dLight/modulusDesignOptimization/ansys/constraints/thetaF_5-5-12-28-22-22-20-20.csv", "CSV", 694865, 0, 3, 694868
"/dLight/modulusDesignOptimization/ansys/constraints/thetaF_5-5-28-28-10-10-11-11.csv", "CSV", 694865, 0, 3, 694868
"/dLight/modulusDesignOptimization/ansys/coolingFlowMax.csv", "CSV", 4563, 0, 1, 4564
"/dLight/modulusDesignOptimization/ansys/coolingFlowMin.csv", "CSV", 4162, 0, 1, 4163
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP100_channelXZ_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP100_channelYZ1_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 9363, 0, 3, 9366
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP100_channelYZ2_4,172-3,767-19,749-17,725-12,972-13,345-11,889-12,848.csv", "CSV", 9582, 0, 3, 9585
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP101_channelXZ_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP101_channelYZ1_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 9356, 0, 3, 9359
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP101_channelYZ2_4,366-3,445-18,759-16,673-12,947-12,946-11,971-13,047.csv", "CSV", 9505, 0, 3, 9508
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP102_channelXZ_4,987-3,000-19,720-21,458-15,710-13,218-19,077-14,325.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP103_channelXZ_4,997-3,000-19,186-18,659-10,599-13,102-16,353-12,071.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP104_channelXZ_4,995-3,000-20,468-19,323-10,072-10,483-11,859-16,918.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP10_channelXZ_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 114316, 0, 3, 114319
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP10_channelYZ1_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 9264, 0, 3, 9267
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP10_channelYZ2_5,000-5,000-28,000-12,000-22,000-22,000-20,000-20,000.csv", "CSV", 9504, 0, 3, 9507
"/dLight/modulusDesignOptimization/ansys/validators - Copy/channel/DP98_channelXZ_3,000-3,000-12,000-12,000-10,000-10,000-11,000-11,000.csv", "CSV", 114316, 0, 3, 114319
