
[Name]
finFluid2

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ]
-2.39113569e-02, -5.79431513e-03, 6.16268767e-03, 3.05711853e+02
-2.33549476e-02, -5.50759491e-03, 5.64210583e-03, 3.05999847e+02
-2.00034212e-02, -5.77684073e-03, 6.09384011e-03, 3.05006866e+02
-2.08693165e-02, -5.30843064e-03, 5.70180267e-03, 3.04954193e+02
-2.30900533e-02, -5.88518241e-03, 1.04094930e-02, 3.06180206e+02
-2.42559165e-02, -5.38318977e-03, 9.21371020e-03, 3.06762054e+02
-2.45966855e-02, -5.51199261e-03, 7.73829408e-03, 3.06378326e+02
-2.23154947e-02, -4.26845206e-03, 5.47238160e-03, 3.05841675e+02
-1.96540859e-02, -5.47791040e-03, 6.85205963e-03, 3.04885193e+02
-2.05866881e-02, -5.39871491e-03, 1.02091907e-02, 3.05988831e+02
-2.29617488e-02, -5.11951279e-03, 1.03552323e-02, 3.06320892e+02
-1.94752943e-02, -5.30830817e-03, 8.43133498e-03, 3.05465179e+02
-2.14128513e-02, -6.51566684e-03, 1.04867229e-02, 3.05424774e+02
-2.46393029e-02, -7.45897042e-03, 8.30800273e-03, 3.05328705e+02
-2.14516725e-02, -4.31497768e-03, 1.04432274e-02, 3.06472687e+02
-1.99666526e-02, -7.54504418e-03, 6.42240793e-03, 3.03772736e+02
-1.97881050e-02, -3.16952518e-03, 6.67717494e-03, 3.06099548e+02
-2.35870797e-02, -8.48318823e-03, 5.76964486e-03, 3.04405365e+02
-2.45786235e-02, -3.10544716e-03, 7.87009485e-03, 3.07706512e+02
-1.96535029e-02, -3.07030091e-03, 9.27062612e-03, 3.07383972e+02
-2.40686201e-02, -2.94444081e-03, 9.57037602e-03, 3.07940002e+02
-2.12635119e-02, -7.78312003e-03, 1.04874372e-02, 3.04760193e+02
-2.31056474e-02, -7.91730080e-03, 1.02986014e-02, 3.04634308e+02
-2.45796777e-02, -8.44034832e-03, 8.88610631e-03, 3.04894745e+02
-2.28352118e-02, -1.89314561e-03, 5.63312601e-03, 3.07441254e+02
-2.03360710e-02, -8.48140754e-03, 5.93752973e-03, 3.03572479e+02
-2.45069899e-02, -8.99466500e-03, 7.66200945e-03, 3.04027191e+02
-2.24868655e-02, -9.01303254e-03, 5.43612614e-03, 3.03451141e+02
-1.95244495e-02, -8.52439180e-03, 8.94555077e-03, 3.03964508e+02
-2.18315367e-02, -2.38016783e-03, 1.06115052e-02, 3.08298187e+02
-2.08685193e-02, -1.71812670e-03, 5.66184893e-03, 3.07256317e+02
-1.96802393e-02, -2.01224559e-03, 6.80386135e-03, 3.06882294e+02
-1.94107126e-02, -1.79314229e-03, 8.42781272e-03, 3.07708099e+02
-2.01484580e-02, -2.05336208e-03, 9.84992646e-03, 3.07854309e+02
-2.13091504e-02, -9.03240219e-03, 1.04874391e-02, 3.03967407e+02
-2.29100008e-02, -9.01076663e-03, 1.03718052e-02, 3.04115936e+02
-1.95983611e-02, -8.96031596e-03, 7.04492023e-03, 3.03221344e+02
-2.41677277e-02, -1.00798607e-02, 6.22734940e-03, 3.04033325e+02
-2.46572830e-02, -1.99845247e-03, 7.76309520e-03, 3.08906128e+02
-2.04731915e-02, -8.96891486e-03, 1.01441415e-02, 3.04227142e+02
-2.41401605e-02, -1.89813029e-03, 9.25852824e-03, 3.08412445e+02
-2.41069440e-02, -1.02207139e-02, 9.65500530e-03, 3.03924713e+02
-2.09767669e-02, -1.00770723e-02, 5.46470005e-03, 3.03099548e+02
-2.26434059e-02, 2.52256345e-04, 5.47144096e-03, 3.08871796e+02
-2.44185142e-02, -5.31972677e-04, 6.96897972e-03, 3.09278381e+02
-1.92887485e-02, -1.00642685e-02, 8.19548778e-03, 3.03289185e+02
-2.13008933e-02, -8.27400479e-04, 1.04914801e-02, 3.08991821e+02
-2.25289371e-02, -1.11106541e-02, 1.06290402e-02, 3.03462921e+02
-2.46383697e-02, -1.11265816e-02, 7.52730761e-03, 3.03215759e+02
-2.14180313e-02, -1.12407794e-02, 1.04103032e-02, 3.02721802e+02
-2.23781522e-02, -1.11464830e-02, 5.35145868e-03, 3.02756348e+02
-2.42987722e-02, 4.20705124e-04, 6.74878154e-03, 3.09836060e+02
-1.97459329e-02, 2.88860319e-04, 6.73789950e-03, 3.08696228e+02
-2.14469302e-02, 4.97235800e-04, 5.45837125e-03, 3.08572235e+02
-1.93993058e-02, 4.50530817e-04, 7.95757212e-03, 3.08702179e+02
-2.39199940e-02, 4.60713170e-04, 9.77000408e-03, 3.10425018e+02
-1.94933061e-02, -1.12226047e-02, 7.06391502e-03, 3.02439331e+02
-2.26207878e-02, 4.67891659e-04, 1.06853172e-02, 3.10908905e+02
-2.03876235e-02, -1.19500719e-02, 5.85072441e-03, 3.02141815e+02
-2.02371273e-02, -1.24147953e-02, 9.91522800e-03, 3.02282288e+02
-2.33651623e-02, -1.24008441e-02, 1.02328379e-02, 3.02897858e+02
-2.11718250e-02, 1.48441782e-03, 1.04043595e-02, 3.10300873e+02
-2.01913584e-02, 1.65827491e-03, 9.85005684e-03, 3.10176727e+02
-2.36929022e-02, 1.50185928e-03, 5.85050695e-03, 3.10416718e+02
-1.96934361e-02, -1.26544125e-02, 6.81966031e-03, 3.01775146e+02
-2.44612731e-02, 2.08771112e-03, 8.72919802e-03, 3.11314453e+02
-2.07111444e-02, -1.34692723e-02, 5.68912411e-03, 3.01567413e+02
-2.02268250e-02, 2.08913418e-03, 5.95841417e-03, 3.09787842e+02
-2.35841833e-02, -1.35968775e-02, 5.83740091e-03, 3.01848969e+02
-2.14060899e-02, 2.72323168e-03, 1.05445310e-02, 3.11523285e+02
-2.42341161e-02, -1.34547874e-02, 6.69953926e-03, 3.01922943e+02
-2.38995422e-02, -1.35691902e-02, 9.85824224e-03, 3.02230927e+02
-1.96218789e-02, -1.35392882e-02, 8.99330061e-03, 3.01675049e+02
-2.22360920e-02, 2.68238573e-03, 5.42170787e-03, 3.10455048e+02
-2.26800460e-02, 2.89607770e-03, 1.06361117e-02, 3.12584412e+02
-2.45601032e-02, 2.70945649e-03, 7.56707555e-03, 3.11543213e+02
-2.17262134e-02, -1.43697057e-02, 1.05853491e-02, 3.01672974e+02
-1.95883662e-02, 2.66075251e-03, 6.89675612e-03, 3.09970367e+02
-1.96291339e-02, -1.47203105e-02, 6.88238954e-03, 3.01167389e+02
-2.34225206e-02, 3.80267622e-03, 5.73460897e-03, 3.11732422e+02
-2.10443288e-02, 3.96861369e-03, 5.46986656e-03, 3.11179474e+02
-1.96509976e-02, 3.92779522e-03, 9.27442871e-03, 3.11722900e+02
-2.41297279e-02, 3.98366619e-03, 9.65123810e-03, 3.13643311e+02
-2.44140532e-02, -1.55396378e-02, 9.07911174e-03, 3.01376465e+02
-2.42950581e-02, -1.56451147e-02, 6.77351188e-03, 3.01193817e+02
-2.07686871e-02, -1.55922417e-02, 1.02786319e-02, 3.01161011e+02
-2.25211717e-02, -1.59797575e-02, 1.06140561e-02, 3.01297333e+02
-2.37868372e-02, -1.55229429e-02, 9.95183550e-03, 3.01397980e+02
-2.20432002e-02, -1.54783139e-02, 5.36335167e-03, 3.01069916e+02
-2.25087851e-02, 4.87996126e-03, 5.38588688e-03, 3.11953461e+02
-2.19694227e-02, 5.09829400e-03, 1.07466392e-02, 3.13928528e+02
-2.08172873e-02, 5.18136565e-03, 5.61760738e-03, 3.11744873e+02
-1.95024125e-02, 5.18668862e-03, 8.46103299e-03, 3.11775604e+02
-1.95781197e-02, 4.97226370e-03, 6.73448713e-03, 3.11794403e+02
-2.45950595e-02, 4.91449470e-03, 7.70978257e-03, 3.13302338e+02
-2.42558643e-02, 5.11620287e-03, 9.21282917e-03, 3.14085815e+02
-2.01388914e-02, 4.90694074e-03, 9.89660807e-03, 3.12729614e+02
-1.94395930e-02, -1.65512059e-02, 7.23555591e-03, 3.00800720e+02
-2.14740001e-02, -1.65316984e-02, 1.06498403e-02, 3.00989716e+02
-2.44117249e-02, -1.66463424e-02, 9.00780596e-03, 3.00974609e+02
-2.35658064e-02, -1.68399122e-02, 5.88698825e-03, 3.00768250e+02
-2.46579833e-02, -1.67727508e-02, 7.89087638e-03, 3.00931641e+02
-2.25230474e-02, -1.70482714e-02, 5.27640339e-03, 3.00806366e+02
-2.34015211e-02, 6.27405802e-03, 5.76326763e-03, 3.13369781e+02
-2.12060641e-02, 6.09174278e-03, 1.05003528e-02, 3.13872467e+02
-1.97091997e-02, -1.76499691e-02, 9.16207489e-03, 3.00578888e+02
-2.40094606e-02, -1.81275532e-02, 9.66341421e-03, 3.00606476e+02
