Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
-4.55664936e-03, 1.95410709e+01, 1.22252688e-01, -9.99999978e-03, -2.25037765e-02, -1.10164192e-02
-3.03031062e-03, 1.92712498e+01, 1.29462153e-01, -9.99999978e-03, -2.23871563e-02, -1.13705639e-02
-8.38551903e-04, 1.97171669e+01, 1.11777104e-01, -9.99999978e-03, -2.19304897e-02, -1.08556505e-02
-1.40266470e-03, 1.98004608e+01, 1.09665267e-01, -9.99999978e-03, -2.19792910e-02, -1.07449386e-02
-2.77053099e-03, 2.01918621e+01, 4.80629578e-02, -9.99999978e-03, -2.28759423e-02, -9.02011618e-03
9.46873333e-04, 2.00470276e+01, 8.55282620e-02, -9.99999978e-03, -2.29530632e-02, -9.80192795e-03
-2.87532341e-03, 2.00826206e+01, 5.50593212e-02, -9.99999978e-03, -2.39112414e-02, -9.09088738e-03
-4.96048853e-03, 2.01923523e+01, 5.28901219e-02, -9.99999978e-03, -2.26193368e-02, -9.17518325e-03
-2.60518398e-04, 2.00496693e+01, 8.74380022e-02, -9.99999978e-03, -2.28174906e-02, -9.87021904e-03
7.38131464e-04, 1.99863224e+01, 9.03482065e-02, -9.99999978e-03, -2.00656280e-02, -1.05721299e-02
6.79847260e-04, 1.99655247e+01, 9.18271020e-02, -9.99999978e-03, -2.01252829e-02, -1.06143830e-02
7.12846464e-04, 1.99660511e+01, 9.16646719e-02, -9.99999978e-03, -2.00951062e-02, -1.06154205e-02
-1.78227806e-03, 1.97512016e+01, 1.15468383e-01, -9.99999978e-03, -2.26553604e-02, -1.07074641e-02
-1.22575602e-03, 1.97071457e+01, 1.21340193e-01, -9.99999978e-03, -2.32789814e-02, -1.07243173e-02
2.78055668e-04, 1.99806595e+01, 9.44731385e-02, -9.99999978e-03, -2.28994600e-02, -1.00497697e-02
-3.62115214e-03, 1.94138718e+01, 6.24769405e-02, -9.99999978e-03, -3.06371134e-02, -9.20894463e-03
-3.62420292e-03, 1.94351807e+01, 5.94421700e-02, -9.99999978e-03, -3.04552037e-02, -9.15033929e-03
-3.97400139e-03, 1.94154110e+01, 6.69323727e-02, -9.99999978e-03, -3.04357205e-02, -9.30111669e-03
7.92742241e-04, 2.00013618e+01, 9.23538283e-02, -9.99999978e-03, -2.30187979e-02, -9.96515527e-03
-6.84956461e-03, 1.90799885e+01, 1.55188605e-01, -9.99999978e-03, -3.12822312e-02, -1.01955719e-02
-6.85713533e-03, 1.90849342e+01, 1.54165864e-01, -9.99999978e-03, -3.12933810e-02, -1.01782316e-02
-6.89456239e-03, 1.90859852e+01, 1.54506832e-01, -9.99999978e-03, -3.12655419e-02, -1.01876874e-02
-1.00748031e-04, 2.05147610e+01, 3.14777978e-02, -9.99999978e-03, -1.89834721e-02, -8.95337667e-03
-1.89541141e-04, 2.05295086e+01, 2.86214091e-02, -9.99999978e-03, -1.89466998e-02, -8.87833629e-03
-1.84273464e-04, 2.05276814e+01, 2.86939815e-02, -9.99999978e-03, -1.90256964e-02, -8.87242891e-03
-9.09591385e-04, 1.92634926e+01, 1.35052368e-01, -9.99999978e-03, -2.32570190e-02, -1.13873910e-02
-9.08540154e-04, 1.92633228e+01, 1.35057166e-01, -9.99999978e-03, -2.32569762e-02, -1.13876173e-02
8.78109131e-04, 1.99647198e+01, 9.17073786e-02, -9.99999978e-03, -2.00522617e-02, -1.06260376e-02
6.92938862e-04, 1.99500046e+01, 9.21193138e-02, -9.99999978e-03, -2.00821739e-02, -1.06426170e-02
-7.20618572e-03, 1.90717030e+01, 1.57046661e-01, -9.99999978e-03, -3.13191190e-02, -1.02089010e-02
-7.02045858e-03, 1.90622292e+01, 1.55251637e-01, -9.99999978e-03, -3.12709101e-02, -1.02454284e-02
-1.08351093e-03, 1.98140907e+01, 1.07535012e-01, -9.99999978e-03, -2.18369979e-02, -1.07370792e-02
-9.05306078e-04, 1.97854500e+01, 1.09065235e-01, -9.99999978e-03, -2.18737889e-02, -1.07836341e-02
2.11890601e-03, 1.92678299e+01, 6.27109334e-02, -9.99999978e-03, -3.15414071e-02, -9.20909364e-03
6.59630448e-03, 1.90874271e+01, 9.45001990e-02, -9.99999978e-03, -3.20442356e-02, -9.73907113e-03
-4.53407038e-03, 1.94032135e+01, 8.15089867e-02, -9.99999978e-03, -2.92358212e-02, -9.76611674e-03
-4.00803331e-03, 1.93458157e+01, 9.78093296e-02, -9.99999978e-03, -2.88391765e-02, -1.01638511e-02
-7.16686528e-03, 1.95840225e+01, 5.69076166e-02, -9.99999978e-03, -2.83813775e-02, -9.31970216e-03
