Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
-3.89133282e-02, 1.17881699e+01, 3.85735882e-03, -9.99999978e-03, -3.02555896e-02, -8.79554078e-03
-3.65479365e-02, 1.17799740e+01, 9.61614214e-03, -9.99999978e-03, -2.97042690e-02, -9.34650097e-03
-3.14509422e-02, 1.18290424e+01, 1.44308712e-02, -9.99999978e-03, -2.94688400e-02, -9.13317036e-03
-2.74016224e-02, 1.18997803e+01, 1.46420319e-02, -9.99999978e-03, -2.97350921e-02, -8.29721615e-03
-4.39315364e-02, 1.16751461e+01, 9.97441728e-03, -9.99999978e-03, -3.07279304e-02, -9.22027417e-03
-2.10364722e-02, 1.19557867e+01, 1.37727922e-02, -9.99999978e-03, -2.91536599e-02, -8.46445002e-03
-2.72622332e-04, 1.27998466e+01, 1.06226709e-02, -9.99999978e-03, -1.46729853e-02, -8.66391044e-03
2.39470974e-05, 1.27215519e+01, 1.45437708e-02, -9.99999978e-03, -1.45449061e-02, -8.97063967e-03
-2.85925576e-04, 1.27945480e+01, 1.19167175e-02, -9.99999978e-03, -1.44459996e-02, -8.76352750e-03
-1.86689291e-03, 1.26064005e+01, 2.08463036e-02, -9.99999978e-03, -1.44035565e-02, -9.38080810e-03
-2.79621710e-03, 1.28408298e+01, 1.20578567e-02, -9.99999978e-03, -1.38266543e-02, -8.75708647e-03
3.47826304e-03, 1.25523634e+01, -2.62450874e-02, -9.99999978e-03, -2.01112293e-02, -7.21196271e-03
3.20178515e-04, 1.26407461e+01, -2.38162093e-03, -9.99999978e-03, -1.97316818e-02, -8.03007931e-03
2.27642740e-05, 1.26249142e+01, -1.99854164e-03, -9.99999978e-03, -2.00239494e-02, -8.01651180e-03
-6.69562432e-05, 1.25941715e+01, -3.88714508e-03, -9.99999978e-03, -2.04647407e-02, -7.91500509e-03
-2.11016624e-04, 1.25943003e+01, -3.31035722e-03, -9.99999978e-03, -2.04790663e-02, -7.93404877e-03
-1.87347643e-02, 1.19160595e+01, 1.09013878e-02, -9.99999978e-03, -2.87425481e-02, -8.96729808e-03
-9.03473422e-03, 1.19418049e+01, 2.70356946e-02, -9.99999978e-03, -2.83828583e-02, -8.89624283e-03
-9.82923619e-03, 1.19655132e+01, 1.36731602e-02, -9.99999978e-03, -2.84886658e-02, -8.61397106e-03
-7.85825122e-03, 1.18631010e+01, 3.42292115e-02, -9.99999978e-03, -2.82513946e-02, -9.35436599e-03
-1.57652460e-02, 1.18510590e+01, 2.05049273e-02, -9.99999978e-03, -2.85541974e-02, -9.36127082e-03
-7.15809502e-03, 1.19779510e+01, 1.26007972e-02, -9.99999978e-03, -2.84856223e-02, -8.40460882e-03
-6.41387794e-03, 1.19796600e+01, 1.34736942e-02, -9.99999978e-03, -2.82520764e-02, -8.52286443e-03
-5.13093127e-03, 1.20184212e+01, -1.66896218e-03, -9.99999978e-03, -2.80031879e-02, -7.89301842e-03
