
[Name]
channelYZ1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
1.29470453e-02, -1.94321088e-02, -5.93279861e-02, 4.70203114e+00, 6.99993652e+02, -3.26543450e-01, 6.17230311e-02, -1.55049157e+00, 6.90306044e+00, -1.60645060e-02, 1.11513391e-01
1.29470453e-02, -1.95738822e-02, -5.97879216e-02, 4.69062662e+00, 6.99994263e+02, -3.12939107e-01, 1.21026590e-01, -1.43751347e+00, 6.72243881e+00, -1.77972913e-02, 1.03492528e-01
1.29470453e-02, -1.91520024e-02, -5.97361550e-02, 4.70654154e+00, 6.99994263e+02, -3.13204080e-01, 1.01795532e-01, -1.50171649e+00, 6.87328815e+00, -1.62539557e-02, 1.01538524e-01
1.29470453e-02, -1.73749328e-02, -4.65480499e-02, 3.47680569e+00, 6.99883972e+02, -2.87463474e+00, 4.71654844e+00, -2.63041420e+01, 8.79098320e+00, 3.48335616e-02, 1.37217686e-01
1.29470453e-02, -1.70452595e-02, -4.64730039e-02, 3.47217393e+00, 6.99883850e+02, -2.84330606e+00, 4.84435892e+00, -2.62722282e+01, 8.84000969e+00, 3.62012759e-02, 1.31560564e-01
1.29470453e-02, -1.73952691e-02, -4.61837538e-02, 3.42946839e+00, 6.99874390e+02, -3.62955761e+00, 4.82385921e+00, -2.81598701e+01, 8.79230118e+00, 3.58210020e-02, 1.38671890e-01
1.29470453e-02, -1.81988738e-02, -5.65449782e-02, 4.51867390e+00, 6.99988098e+02, -7.84465075e-01, 1.42487779e-01, -2.89553809e+00, 7.88306522e+00, -2.92855920e-03, 1.33012012e-01
1.29470453e-02, -1.78019088e-02, -5.65852411e-02, 4.53499508e+00, 6.99988220e+02, -7.57036090e-01, 1.36014611e-01, -2.93230367e+00, 7.95422602e+00, -1.58676971e-03, 1.28066406e-01
1.29470453e-02, -1.80365108e-02, -5.60641773e-02, 4.47719765e+00, 6.99986328e+02, -8.56983781e-01, 7.92352259e-02, -3.43772078e+00, 7.98607254e+00, -8.36921390e-06, 1.33098736e-01
1.29470453e-02, -1.57046523e-02, -5.07602245e-02, 3.95237923e+00, 6.99955872e+02, -2.37331748e+00, 8.30769539e-01, -9.93555260e+00, 8.87188530e+00, 2.70262286e-02, 1.10045895e-01
1.29470453e-02, -1.58889256e-02, -5.08813523e-02, 3.96162486e+00, 6.99957397e+02, -2.33133793e+00, 8.10261428e-01, -9.48208332e+00, 8.84297085e+00, 2.64184251e-02, 1.12733632e-01
1.29470453e-02, -1.67473294e-02, -4.91092615e-02, 3.76401639e+00, 6.99935913e+02, -2.57984447e+00, 2.08159399e+00, -1.37960091e+01, 8.81058311e+00, 2.98479777e-02, 1.22902438e-01
1.29470453e-02, -1.62611082e-02, -4.82799970e-02, 3.68711925e+00, 6.99925476e+02, -2.78747964e+00, 2.43387842e+00, -1.63943806e+01, 8.90919495e+00, 3.28174829e-02, 1.15297675e-01
1.29470453e-02, -1.54571319e-02, -5.08810095e-02, 3.96984410e+00, 6.99957886e+02, -2.41238976e+00, 6.07660174e-01, -9.39639759e+00, 8.89591599e+00, 2.73185037e-02, 1.07164085e-01
1.29470453e-02, -1.53424628e-02, -4.84205894e-02, 3.72045422e+00, 6.99929504e+02, -3.00242543e+00, 1.75928116e+00, -1.51242752e+01, 9.01110268e+00, 3.48005407e-02, 1.04431152e-01
1.29470453e-02, -1.33802788e-02, -4.87093180e-02, 3.80381823e+00, 6.99934265e+02, -3.08085775e+00, 1.39420009e+00, -1.40547180e+01, 9.20173836e+00, 3.71115580e-02, 8.59747380e-02
1.29470453e-02, -1.47660803e-02, -4.73234728e-02, 3.60663748e+00, 6.99912720e+02, -3.70138502e+00, 2.55568814e+00, -1.88344307e+01, 9.09361076e+00, 3.89527082e-02, 1.00013338e-01
1.29470453e-02, -1.28375143e-02, -4.68720496e-02, 3.60254240e+00, 6.99906006e+02, -4.19892073e+00, 2.75896430e+00, -2.02864799e+01, 9.29747009e+00, 4.33846563e-02, 8.24974626e-02
1.29470453e-02, -1.58779025e-02, -4.76373360e-02, 3.62710094e+00, 6.99914368e+02, -3.04000163e+00, 2.73726201e+00, -1.83414536e+01, 8.98182106e+00, 3.62771899e-02, 1.09105751e-01
1.29470453e-02, -1.39048807e-02, -4.57505807e-02, 3.46088862e+00, 6.99881958e+02, -4.67922783e+00, 3.83152795e+00, -2.62813396e+01, 9.22252464e+00, 4.51497063e-02, 9.19555724e-02
1.29470453e-02, -1.72195341e-02, -4.69326377e-02, 3.51757550e+00, 6.99892334e+02, -2.69777083e+00, 4.54388618e+00, -2.46436253e+01, 8.80272293e+00, 3.40669639e-02, 1.34183928e-01
1.29470453e-02, -1.55911259e-02, -5.09789959e-02, 3.97858000e+00, 6.99958801e+02, -2.34116721e+00, 5.97475111e-01, -9.17313766e+00, 8.87618732e+00, 2.66749430e-02, 1.08591534e-01
1.29470453e-02, -1.75747089e-02, -5.00718281e-02, 3.87609911e+00, 6.99946838e+02, -2.23691559e+00, 2.06614089e+00, -1.17084866e+01, 8.66637993e+00, 2.64725834e-02, 1.35540158e-01
1.29470453e-02, -1.85591541e-02, -4.94777039e-02, 3.78734541e+00, 6.99935303e+02, -1.96273863e+00, 3.53593230e+00, -1.44921818e+01, 8.53558445e+00, 2.66036578e-02, 1.52563840e-01
1.29470453e-02, -1.92365162e-02, -5.88179976e-02, 4.70477247e+00, 6.99992798e+02, -3.73528689e-01, 4.48250249e-02, -1.69933224e+00, 7.10593414e+00, -1.34532657e-02, 1.22407518e-01
1.29470453e-02, -1.80663541e-02, -5.95620796e-02, 4.71828890e+00, 6.99993774e+02, -3.51661325e-01, -3.87484729e-02, -1.59417713e+00, 7.22112894e+00, -1.45606371e-02, 1.05103523e-01
1.29470453e-02, -1.89299695e-02, -5.85270636e-02, 4.70046139e+00, 6.99992310e+02, -4.20828402e-01, -6.41663978e-03, -1.87969398e+00, 7.27991009e+00, -1.10505903e-02, 1.25261888e-01
1.29470453e-02, -1.85774527e-02, -5.14872372e-02, 4.05004835e+00, 6.99958984e+02, -1.53777206e+00, 1.61836457e+00, -9.80760193e+00, 8.39977169e+00, 2.00886466e-02, 1.55940861e-01
1.29470453e-02, -1.78843308e-02, -5.12108281e-02, 4.01312542e+00, 6.99957397e+02, -1.64019763e+00, 1.32523060e+00, -9.69656277e+00, 8.54305458e+00, 2.17919759e-02, 1.41875386e-01
1.29470453e-02, -1.87806524e-02, -5.06762937e-02, 3.95500374e+00, 6.99950684e+02, -1.99167991e+00, 2.47008944e+00, -1.16508827e+01, 8.40986824e+00, 2.30321474e-02, 1.60018578e-01
1.29470453e-02, -1.58684738e-02, -5.56098409e-02, 4.50360441e+00, 6.99984985e+02, -7.82951117e-01, -7.10296258e-02, -3.69736290e+00, 8.41879368e+00, 7.78249651e-03, 1.09223634e-01
1.29470453e-02, -1.63138788e-02, -5.53674698e-02, 4.46583462e+00, 6.99984009e+02, -8.52286220e-01, -8.31593275e-02, -3.95811558e+00, 8.37621021e+00, 7.60750053e-03, 1.15570255e-01
1.29470453e-02, -1.57732069e-02, -5.52477650e-02, 4.46483564e+00, 6.99983521e+02, -8.55682731e-01, -2.34618075e-02, -3.98436904e+00, 8.47667408e+00, 9.92559642e-03, 1.08585231e-01
1.29470453e-02, -1.64676979e-02, -5.75092174e-02, 4.61026669e+00, 6.99990601e+02, -5.75238466e-01, 2.30316594e-02, -2.20975804e+00, 8.02510452e+00, -1.36752962e-04, 1.04667477e-01
1.29470453e-02, -1.62249915e-02, -5.76298460e-02, 4.61172867e+00, 6.99990906e+02, -5.77053964e-01, 1.58335548e-02, -2.15802503e+00, 8.04555225e+00, 9.65956133e-07, 1.01826593e-01
1.29470453e-02, -1.64943412e-02, -5.76687753e-02, 4.61790133e+00, 6.99991089e+02, -5.57404995e-01, 2.41404660e-02, -2.09351063e+00, 7.99462223e+00, -7.93270883e-04, 1.03673033e-01
1.29470453e-02, -1.62109993e-02, -5.67020401e-02, 4.56309080e+00, 6.99988159e+02, -6.70496702e-01, -1.91238075e-02, -2.84188318e+00, 8.19214916e+00, 3.20760254e-03, 1.06511429e-01
1.29470453e-02, -1.49753820e-02, -4.51205894e-02, 3.36765528e+00, 6.99858826e+02, -4.84413290e+00, 4.68756485e+00, -3.16926899e+01, 9.13751507e+00, 4.62180637e-02, 1.01048909e-01
1.29470453e-02, -1.64962467e-02, -4.43110056e-02, 3.26009655e+00, 6.99815979e+02, -6.32792950e+00, 6.11807013e+00, -3.96216850e+01, 8.92743111e+00, 4.53876927e-02, 1.27566785e-01
