
[Name]
internalXZ1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
2.21030917e-02, 0.00000000e+00, 6.12241076e-03, 7.48288040e+01, 3.06561188e+02, 2.30948181e+02, 5.43061340e+02, -1.51653625e+03, -6.30527386e-04, 2.10081444e+01, 1.32641084e-02
2.21073274e-02, 0.00000000e+00, 6.12262636e-03, 7.48292770e+01, 3.06562256e+02, 2.35390762e+02, 5.43418884e+02, -1.51844312e+03, -6.54529314e-04, 2.10080872e+01, 1.32563664e-02
2.21057292e-02, 0.00000000e+00, 6.12633955e-03, 7.48295441e+01, 3.06553680e+02, 2.32484451e+02, 5.42932068e+02, -1.51058960e+03, -6.40720245e-04, 2.10100632e+01, 1.32612260e-02
2.26724744e-02, 0.00000000e+00, 4.86793136e-03, 7.47506104e+01, 3.10404327e+02, 2.67048633e+03, 7.05637451e+02, -9.75907520e+03, -1.72996265e-03, 2.01515350e+01, 7.67325005e-03
2.27602609e-02, -4.36557457e-11, 4.69979458e-03, 7.47367172e+01, 3.11195313e+02, 3.47631689e+03, 7.10856384e+02, -1.22874375e+04, -2.52104830e-03, 1.99919605e+01, 8.91023688e-03
2.28752531e-02, 0.00000000e+00, 4.73000109e-03, 7.47474213e+01, 3.11358490e+02, 4.40724951e+03, 7.71577881e+02, -1.29606602e+04, -1.60093792e-03, 1.99635105e+01, 7.99843017e-03
2.23882776e-02, -1.45519152e-11, 5.29738097e-03, 7.47765350e+01, 3.08363708e+02, 6.24842407e+02, 6.07079590e+02, -3.13563330e+03, -2.70365877e-03, 2.05856266e+01, 1.29757514e-02
2.23080460e-02, 0.00000000e+00, 4.68479143e-03, 7.46903534e+01, 3.11199066e+02, 1.74127124e+03, 6.94368896e+02, -1.40421777e+04, -6.50703674e-03, 1.99508114e+01, 1.24816140e-02
2.19017789e-02, 2.18278728e-11, 4.78302408e-03, 7.46016083e+01, 3.09959564e+02, -2.35176239e+02, 5.02114807e+02, -8.36556445e+03, 2.28458346e-04, 2.01976547e+01, 1.32765993e-02
2.21683234e-02, 0.00000000e+00, 4.62342333e-03, 7.46494980e+01, 3.11236511e+02, 1.28839050e+03, 6.47107788e+02, -1.39007637e+04, -4.96348226e-03, 1.99327869e+01, 1.26569886e-02
2.17818599e-02, 0.00000000e+00, 4.61969245e-03, 7.45862122e+01, 3.10568085e+02, -4.83045593e+02, 5.09317871e+02, -1.03472813e+04, 1.20727275e-03, 2.00524025e+01, 1.29827587e-02
2.19512433e-02, 0.00000000e+00, 5.32981846e-03, 7.47333145e+01, 3.08139648e+02, 1.60492401e+02, 5.67607239e+02, -2.84197168e+03, -1.98490394e-04, 2.06185989e+01, 1.37590049e-02
2.22872756e-02, 3.27418093e-11, 4.62432951e-03, 7.46772461e+01, 3.11448792e+02, 1.81164832e+03, 6.88579712e+02, -1.50220176e+04, -6.64109550e-03, 1.98948936e+01, 1.31076556e-02
2.16264855e-02, 0.00000000e+00, 4.81553329e-03, 7.46185532e+01, 3.09911224e+02, -5.02917480e+02, 5.11200745e+02, -8.21675977e+03, 1.98688149e-03, 2.01980209e+01, 1.37208560e-02
2.36798711e-02, 0.00000000e+00, 7.00239046e-03, 7.47976532e+01, 3.07261047e+02, 1.96653198e+03, 5.23831726e+02, -6.98094727e+02, -1.19121950e-02, 2.09754944e+01, 6.38444535e-03
2.33803578e-02, 7.27595761e-12, 6.52430113e-03, 7.48286591e+01, 3.07211731e+02, 1.60698328e+03, 5.42308228e+02, -1.15276892e+03, -9.56051052e-03, 2.09427948e+01, 9.72048938e-03
2.38265246e-02, 0.00000000e+00, 6.65315380e-03, 7.47942963e+01, 3.07974792e+02, 2.35082300e+03, 5.61128479e+02, -1.25902979e+03, -1.22850109e-02, 2.08190956e+01, 6.71543600e-03
2.11372413e-02, 0.00000000e+00, 5.81360469e-03, 7.47710342e+01, 3.07349548e+02, -5.80326965e+02, 5.42561768e+02, -2.14615308e+03, 5.60811255e-03, 2.07820625e+01, 1.32579710e-02
2.20967680e-02, -1.36424205e-12, 6.12617517e-03, 7.48287430e+01, 3.06555359e+02, 2.25968109e+02, 5.42646057e+02, -1.51113110e+03, -5.83498564e-04, 2.10093517e+01, 1.32500296e-02
2.14254335e-02, -1.45519152e-11, 5.36254048e-03, 7.47585144e+01, 3.08144531e+02, -3.69361420e+02, 5.81393860e+02, -2.85273389e+03, 3.16597521e-03, 2.05969238e+01, 1.45776495e-02
2.30011642e-02, 0.00000000e+00, 5.25925448e-03, 7.48180389e+01, 3.09350891e+02, 1.77224988e+03, 7.15934937e+02, -3.95403979e+03, -2.63790041e-03, 2.04069748e+01, 1.06172320e-02
2.29117833e-02, 0.00000000e+00, 5.24920179e-03, 7.48152542e+01, 3.09273468e+02, 1.62325867e+03, 7.13036499e+02, -3.91506128e+03, -2.17762822e-03, 2.04178734e+01, 1.06870122e-02
2.28854157e-02, 3.63797881e-12, 5.46552707e-03, 7.48167419e+01, 3.08519104e+02, 1.45048926e+03, 6.42802551e+02, -3.10680103e+03, -3.58733675e-03, 2.05891914e+01, 1.18558742e-02
2.36687511e-02, -3.63797881e-12, 5.50587662e-03, 7.47551117e+01, 3.09526337e+02, 2.60488086e+03, 6.31703796e+02, -3.53108252e+03, -6.19746326e-03, 2.04238815e+01, 9.15320870e-03
2.37436928e-02, -3.63797881e-12, 5.56317996e-03, 7.47560349e+01, 3.09507629e+02, 2.69825122e+03, 6.25925781e+02, -3.40839941e+03, -6.57382095e-03, 2.04342232e+01, 9.01942421e-03
2.35667825e-02, 0.00000000e+00, 5.75119257e-03, 7.47796707e+01, 3.08829498e+02, 2.29441406e+03, 6.03146362e+02, -2.87976147e+03, -6.66103885e-03, 2.05747452e+01, 9.81932878e-03
2.23184377e-02, 0.00000000e+00, 4.62901080e-03, 7.46839066e+01, 3.11458740e+02, 1.93503723e+03, 6.95409973e+02, -1.49432471e+04, -6.92891283e-03, 1.98967743e+01, 1.30329207e-02
2.33784877e-02, 0.00000000e+00, 6.23932946e-03, 7.48548050e+01, 3.07532867e+02, 1.71461255e+03, 5.78243896e+02, -1.54035913e+03, -8.45561922e-03, 2.08612595e+01, 1.10835992e-02
2.39126272e-02, 0.00000000e+00, 6.03489159e-03, 7.48464508e+01, 3.08855408e+02, 2.74478955e+03, 6.46193176e+02, -2.15692603e+03, -1.03383642e-02, 2.06096878e+01, 9.18913633e-03
2.33221315e-02, -1.81898940e-12, 5.36705647e-03, 7.47839355e+01, 3.09479126e+02, 2.18339844e+03, 6.79561218e+02, -3.80201758e+03, -4.13747225e-03, 2.04042149e+01, 9.64919478e-03
2.28054095e-02, 0.00000000e+00, 5.71831921e-03, 7.48197327e+01, 3.07569977e+02, 1.14286890e+03, 5.52724548e+02, -2.08930615e+03, -5.24290279e-03, 2.08031979e+01, 1.36184413e-02
2.29016598e-02, 0.00000000e+00, 5.92862675e-03, 7.48305206e+01, 3.07293182e+02, 1.15945752e+03, 5.41098145e+02, -1.73893726e+03, -5.96166775e-03, 2.08736038e+01, 1.32680433e-02
2.29305942e-02, -3.63797881e-12, 5.12016751e-03, 7.48018341e+01, 3.09794373e+02, 2.13376636e+03, 7.29797241e+02, -5.90024658e+03, -1.94151397e-03, 2.03035679e+01, 9.32320021e-03
2.30468176e-02, 0.00000000e+00, 5.17337630e-03, 7.47909698e+01, 3.09878601e+02, 2.76765479e+03, 7.18426086e+02, -6.06832373e+03, -1.44705188e-03, 2.02947407e+01, 8.33600108e-03
2.32076719e-02, 0.00000000e+00, 4.83663334e-03, 7.47089233e+01, 3.11799744e+02, 6.54183301e+03, 7.43595520e+02, -1.43329648e+04, -1.14774331e-04, 1.98952789e+01, 4.95077437e-03
2.34731063e-02, 1.45519152e-11, 4.95689269e-03, 7.46818848e+01, 3.11877747e+02, 7.37572852e+03, 7.07576416e+02, -1.38700996e+04, 5.21319162e-04, 1.99013634e+01, 3.65730887e-03
2.37150583e-02, 0.00000000e+00, 5.42790256e-03, 7.47329025e+01, 3.10001801e+02, 3.65098389e+03, 6.44686523e+02, -5.28957910e+03, -5.41636534e-03, 2.03254642e+01, 8.72127153e-03
2.27709599e-02, -2.18278728e-11, 5.77518437e-03, 7.48221817e+01, 3.07364838e+02, 1.05366638e+03, 5.36933655e+02, -1.90539380e+03, -5.30572189e-03, 2.08458462e+01, 1.37347290e-02
2.27069147e-02, 7.27595761e-12, 5.77991735e-03, 7.48148117e+01, 3.07327484e+02, 9.71734619e+02, 5.30767273e+02, -1.89669189e+03, -4.96315910e-03, 2.08511810e+01, 1.37843583e-02
2.37305574e-02, 0.00000000e+00, 5.08856960e-03, 7.46620483e+01, 3.12111938e+02, 9.02537500e+03, 6.72246582e+02, -1.39834326e+04, -1.26044743e-03, 1.98786716e+01, 6.27122726e-03
2.32114717e-02, 2.91038305e-11, 6.32401882e-03, 7.48564301e+01, 3.07097443e+02, 1.38972266e+03, 5.67180176e+02, -1.33396021e+03, -7.78055144e-03, 2.09474888e+01, 1.13286730e-02
2.11093351e-02, -5.45696821e-12, 7.21150357e-03, 7.47440033e+01, 3.05712799e+02, -5.11440643e+02, 4.89622711e+02, -3.28509247e+02, 1.00061800e-02, 2.12131443e+01, 3.77176260e-03
2.10671797e-02, 2.18278728e-11, 7.17872242e-03, 7.47484512e+01, 3.05745483e+02, -5.43753174e+02, 4.91889343e+02, -3.65453156e+02, 1.03827314e-02, 2.12027950e+01, 4.07486130e-03
2.10609511e-02, -1.81898940e-12, 7.22316653e-03, 7.47465820e+01, 3.05717102e+02, -5.46861267e+02, 4.90880157e+02, -3.20880127e+02, 1.04866521e-02, 2.12110329e+01, 3.64307221e-03
2.27215458e-02, 0.00000000e+00, 5.69403078e-03, 7.48080444e+01, 3.07527405e+02, 1.01574908e+03, 5.44882507e+02, -2.09552881e+03, -5.13213268e-03, 2.08042068e+01, 1.36235496e-02
2.43321210e-02, 7.27595761e-12, 6.79780217e-03, 7.48308411e+01, 3.09067322e+02, 3.15858398e+03, 6.58105896e+02, -1.22166467e+03, -1.11253792e-02, 2.06276016e+01, 5.46571054e-03
2.38997657e-02, 0.00000000e+00, 5.47713693e-03, 7.47438278e+01, 3.10631378e+02, 5.90054883e+03, 6.51076477e+02, -6.86625293e+03, -8.19824822e-03, 2.02141495e+01, 8.15801602e-03
2.12040320e-02, 1.45519152e-11, 6.15078956e-03, 7.47507172e+01, 3.06662170e+02, -4.59956787e+02, 5.16588257e+02, -1.53511768e+03, 5.79172699e-03, 2.09533730e+01, 1.15437247e-02
2.21217480e-02, 0.00000000e+00, 6.12904038e-03, 7.48300934e+01, 3.06561279e+02, 2.49818237e+02, 5.43260559e+02, -1.50794446e+03, -7.37539027e-04, 2.10092087e+01, 1.32438038e-02
2.21083052e-02, -1.36424205e-12, 6.13048347e-03, 7.48298187e+01, 3.06550171e+02, 2.35114502e+02, 5.42788025e+02, -1.50573413e+03, -6.58869685e-04, 2.10111370e+01, 1.32445795e-02
2.21044756e-02, -1.36424205e-12, 6.12856448e-03, 7.48296051e+01, 3.06550354e+02, 2.31925262e+02, 5.42859375e+02, -1.50776111e+03, -6.34348660e-04, 2.10108700e+01, 1.32530322e-02
2.40948554e-02, 0.00000000e+00, 5.34662092e-03, 7.47172394e+01, 3.12389618e+02, 1.10321934e+04, 6.72186157e+02, -1.30811631e+04, -8.80396739e-03, 1.98641186e+01, 6.28626347e-03
2.19865460e-02, 0.00000000e+00, 7.00357324e-03, 7.47464600e+01, 3.05608704e+02, 1.47868637e+02, 4.93367279e+02, -5.27281616e+02, 3.97311291e-04, 2.12571735e+01, 5.94913913e-03
2.15712115e-02, 0.00000000e+00, 6.50633452e-03, 7.48089447e+01, 3.06043213e+02, -1.73052078e+02, 5.25666565e+02, -1.08069385e+03, 3.76013503e-03, 2.11216774e+01, 1.05965063e-02
2.31226571e-02, 1.45519152e-11, 6.47608377e-03, 7.48301544e+01, 3.06848755e+02, 1.26497437e+03, 5.45578247e+02, -1.16686206e+03, -7.10399682e-03, 2.10058727e+01, 1.05390595e-02
2.23808941e-02, 1.45519152e-11, 7.04300404e-03, 7.47813797e+01, 3.05749756e+02, 4.74000977e+02, 4.94771484e+02, -4.95198151e+02, -2.17551738e-03, 2.12415714e+01, 6.36017602e-03
2.31473912e-02, 0.00000000e+00, 6.94631785e-03, 7.47977219e+01, 3.06472595e+02, 1.25593457e+03, 5.29073669e+02, -6.81980103e+02, -6.78443536e-03, 2.11167679e+01, 7.82971643e-03
