
[Name]
internalYZ2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-9.99999978e-03, -2.41189320e-02, -9.37953405e-03, 1.07998161e+02, 3.00048004e+02, -3.91607404e+00, 1.17615860e+02, -3.87980957e+02, -1.64615980e-03, 1.23397770e+01, 6.93797767e-02
-9.99999978e-03, -2.38533746e-02, -9.04023461e-03, 1.07256332e+02, 3.00027557e+02, -2.24484386e+01, 5.63283501e+01, -1.29993393e+02, -2.23014411e-03, 1.25131836e+01, 5.17352819e-02
-9.99999978e-03, -2.41434053e-02, -8.88946094e-03, 1.08033279e+02, 3.00014343e+02, 1.09929657e+00, 2.89328423e+01, -4.59176788e+01, -1.55074941e-03, 1.25309124e+01, 4.78685535e-02
-9.99999978e-03, -2.37242728e-02, -8.87528434e-03, 1.06900269e+02, 3.00021667e+02, -4.92596483e+00, 4.02381477e+01, -6.19046745e+01, -1.47135369e-03, 1.25681915e+01, 4.43052836e-02
-9.99999978e-03, -2.38816943e-02, -8.21966119e-03, 1.07297905e+02, 3.00005829e+02, -4.57531244e-01, 1.55332298e+01, -7.32001591e+00, 2.92067300e-04, 1.26261988e+01, 1.03815831e-02
-9.99999978e-03, -2.35378407e-02, -9.11863428e-03, 1.06402908e+02, 3.00059418e+02, -4.02944260e+01, 1.01765350e+02, -3.45633545e+02, -2.96172011e-03, 1.25145645e+01, 5.26864976e-02
-9.99999978e-03, -2.30279528e-02, -8.99163820e-03, 1.05027771e+02, 3.00068817e+02, -2.75420837e+01, 1.08747986e+02, -3.22561829e+02, -8.83898465e-04, 1.25970964e+01, 4.39179242e-02
-9.99999978e-03, -2.32378673e-02, -9.36071947e-03, 1.05612198e+02, 3.00122559e+02, 8.08621597e+00, 2.09356812e+02, -8.05592651e+02, -2.99279694e-03, 1.24333315e+01, 6.04716912e-02
-9.99999978e-03, -1.61996987e-02, -8.03961139e-03, 8.80012131e+01, 3.01765961e+02, -1.70712830e+02, 6.10024048e+02, -1.18961472e+02, -1.84361520e-03, 1.31703691e+01, 1.74145342e-03
-9.99999978e-03, -1.61778256e-02, -8.04411620e-03, 8.79496460e+01, 3.01781494e+02, -1.68049408e+02, 6.14306824e+02, -1.29310104e+02, -1.78014673e-03, 1.31711035e+01, 1.83888245e-03
-9.99999978e-03, -1.61828212e-02, -8.02175608e-03, 8.79611435e+01, 3.01775177e+02, -1.68111725e+02, 6.12754211e+02, -9.01362915e+01, -1.82685431e-03, 1.31710796e+01, 1.37251499e-03
-9.99999978e-03, -1.61990635e-02, -8.02351627e-03, 8.79999313e+01, 3.01763336e+02, -1.72919006e+02, 6.10021179e+02, -9.30173264e+01, -1.85975956e-03, 1.31704741e+01, 1.38693210e-03
-9.99999978e-03, -1.64962411e-02, -8.74816719e-03, 8.87273865e+01, 3.01977905e+02, -1.77308548e+02, 6.95486633e+02, -1.54126355e+03, -1.34231732e-03, 1.30809355e+01, 2.02546623e-02
-9.99999978e-03, -1.64962411e-02, -8.74816719e-03, 8.87273865e+01, 3.01977905e+02, -1.77308548e+02, 6.95486633e+02, -1.54126355e+03, -1.34231732e-03, 1.30809355e+01, 2.02546623e-02
-9.99999978e-03, -1.64962411e-02, -8.74816719e-03, 8.87273865e+01, 3.01977905e+02, -1.77308548e+02, 6.95486633e+02, -1.54126355e+03, -1.34231732e-03, 1.30809355e+01, 2.02546623e-02
-9.99999978e-03, -1.64962411e-02, -8.74816719e-03, 8.87273865e+01, 3.01977905e+02, -1.77308548e+02, 6.95486633e+02, -1.54126355e+03, -1.34231732e-03, 1.30809355e+01, 2.02546623e-02
-9.99999978e-03, -1.64402146e-02, -8.03299341e-03, 8.85692596e+01, 3.01632111e+02, -1.83628723e+02, 5.89700806e+02, -9.93947449e+01, -1.65583356e-03, 1.31601944e+01, 1.40169787e-03
-9.99999978e-03, -1.38530433e-02, -7.25183310e-03, 8.25251617e+01, 3.03776794e+02, -8.00811157e+01, 8.49114136e+02, 1.57118945e+03, -1.00052403e-03, 1.31903381e+01, -1.56482346e-02
-9.99999978e-03, -1.34408195e-02, -8.06875899e-03, 8.15594864e+01, 3.03832886e+02, -9.62759552e+01, 8.49165833e+02, -3.11750519e+02, 5.63126407e-04, 1.32719021e+01, 1.17470103e-04
-9.99999978e-03, -1.30626373e-02, -7.44696520e-03, 8.07345810e+01, 3.04537231e+02, -2.87117645e+02, 9.90142334e+02, 1.17953345e+03, 2.10362487e-04, 1.32234573e+01, -9.69772227e-03
-9.99999978e-03, -2.38997489e-02, -8.17445200e-03, 1.07345261e+02, 3.00005035e+02, -6.47928596e-01, 1.43014002e+01, -4.32823515e+00, 3.77058692e-04, 1.26275673e+01, 8.06484930e-03
-9.99999978e-03, -2.45593116e-02, -7.54635036e-03, 1.09131828e+02, 3.00003967e+02, -2.18207979e+00, 1.17821598e+01, 7.93240547e+00, 3.96165997e-05, 1.25243320e+01, -2.39618029e-02
-9.99999978e-03, -2.49085091e-02, -8.08258541e-03, 1.10078194e+02, 3.00001007e+02, -1.14384770e-01, 3.88894749e+00, -1.84236199e-01, -8.54650221e-04, 1.25207920e+01, 6.98263897e-03
-9.99999978e-03, -2.40148026e-02, -7.27374572e-03, 1.07634171e+02, 3.00011871e+02, -4.97021198e+00, 2.41340923e+01, 3.36704216e+01, -1.97009416e-03, 1.25638552e+01, -3.52799334e-02
-9.99999978e-03, -2.38844920e-02, -8.17624573e-03, 1.07303932e+02, 3.00005219e+02, -3.87027979e-01, 1.45542679e+01, -4.13112020e+00, 4.10202018e-04, 1.26290617e+01, 8.21429584e-03
-9.99999978e-03, -2.37190742e-02, -7.25997239e-03, 1.06831985e+02, 3.00015442e+02, -4.25014496e-02, 2.96772728e+01, 3.96510735e+01, -1.44247012e-03, 1.25899334e+01, -3.46933231e-02
-9.99999978e-03, -2.02055108e-02, -8.66909698e-03, 9.77460861e+01, 3.00415741e+02, -1.94041672e+01, 2.80573578e+02, -4.80254486e+02, -1.52179273e-03, 1.28696051e+01, 2.44614854e-02
-9.99999978e-03, -2.04274394e-02, -8.18602461e-03, 9.83020020e+01, 3.00272278e+02, -2.46598606e+01, 2.30253128e+02, -1.48148605e+02, -1.19433878e-03, 1.29063568e+01, 5.37110493e-03
-9.99999978e-03, -2.08935682e-02, -8.78407154e-03, 9.94809418e+01, 3.00277588e+02, -2.03741188e+01, 2.25138947e+02, -3.77468170e+02, 8.05564996e-05, 1.28191319e+01, 2.75605619e-02
-9.99999978e-03, -2.09310167e-02, -8.87970906e-03, 9.95759888e+01, 3.00287079e+02, -1.95775681e+01, 2.27696075e+02, -4.23243683e+02, 2.00309354e-04, 1.28072720e+01, 3.11813541e-02
-9.99999978e-03, -2.94413101e-02, -8.03839881e-03, 1.23761314e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.90974232e-04, 1.18614769e+01, 3.93278990e-03
-9.99999978e-03, -2.99346019e-02, -8.69248435e-03, 1.25509293e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.57511952e-03, 1.17339382e+01, 6.55181184e-02
-9.99999978e-03, -3.02774832e-02, -7.98908528e-03, 1.26708038e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.98941634e-04, 1.16964121e+01, -2.16649985e-03
-9.99999978e-03, -2.97979563e-02, -7.98110478e-03, 1.25017654e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.84295238e-04, 1.17926741e+01, -2.12843250e-03
-9.99999978e-03, -3.02953571e-02, -7.92492460e-03, 1.26769951e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.54413283e-05, 1.16947021e+01, -8.51455145e-03
-9.99999978e-03, -3.02645452e-02, -7.85641652e-03, 1.26659821e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.25365118e-04, 1.16987944e+01, -1.43533451e-02
-9.99999978e-03, -3.32671143e-02, -7.94097409e-03, 1.38547333e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.49821865e-03, 1.09973097e+01, -3.87041504e-03
-9.99999978e-03, -3.37662734e-02, -7.42982142e-03, 1.40661804e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.66218169e-03, 1.08197346e+01, -6.22563809e-02
-9.99999978e-03, -3.40995602e-02, -8.07532016e-03, 1.41895615e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.78684374e-04, 1.08401623e+01, 5.63505059e-03
-9.99999978e-03, -3.03239897e-02, -7.93144759e-03, 1.26876328e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.48815166e-04, 1.16891556e+01, -7.68044917e-03
-9.99999978e-03, -3.05595957e-02, -8.00205674e-03, 1.27774193e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34310336e-04, 1.16386642e+01, 5.35729341e-04
-9.99999978e-03, -3.11946552e-02, -8.38263705e-03, 1.30194412e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.51410063e-03, 1.14927330e+01, 4.40422744e-02
-9.99999978e-03, -3.08197439e-02, -8.63071997e-03, 1.28765884e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.76450506e-03, 1.15544424e+01, 7.14348927e-02
-9.99999978e-03, -3.03433035e-02, -7.87616707e-03, 1.26949387e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.65229915e-04, 1.16830406e+01, -1.38000455e-02
-9.99999978e-03, -1.16421226e-02, -8.31284653e-03, 7.75110092e+01, 3.05795837e+02, -2.43893768e+02, 1.19895764e+03, -1.09306860e+03, 2.82073888e-04, 1.33072948e+01, 2.92195496e-03
-9.99999978e-03, -1.17531046e-02, -8.19470081e-03, 7.77745209e+01, 3.05452576e+02, -2.87004364e+02, 1.20037000e+03, -6.61399048e+02, 6.18242426e-04, 1.33213911e+01, 1.46552757e-03
-9.99999978e-03, -1.16660502e-02, -8.14874843e-03, 7.75740204e+01, 3.05501495e+02, -2.76366760e+02, 1.21471533e+03, -4.85668121e+02, 5.73267345e-04, 1.33291578e+01, 6.25517627e-04
-9.99999978e-03, -1.13925543e-02, -8.82805698e-03, 7.69160614e+01, 3.07003052e+02, -2.03080200e+02, 1.17867249e+03, -2.98765454e+03, -6.37763645e-04, 1.32354469e+01, 9.87443980e-03
-9.99999978e-03, -1.04433242e-02, -8.77877511e-03, 7.47887192e+01, 3.07837311e+02, -2.87360535e+02, 1.31616211e+03, -2.72588770e+03, -2.98308616e-04, 1.32916784e+01, 8.34056735e-03
-9.99999978e-03, -1.12294657e-02, -8.47915001e-03, 7.65630035e+01, 3.06724304e+02, -3.47115356e+02, 1.24797681e+03, -1.68093311e+03, -2.54828483e-05, 1.32779942e+01, 4.67585446e-03
-9.99999978e-03, -1.12098157e-02, -9.10962187e-03, 7.65096893e+01, 3.08212341e+02, 3.74537018e+02, 1.31092810e+03, -8.87989844e+03, 1.84342207e-04, 1.31497612e+01, 1.34236626e-02
-9.99999978e-03, -1.09029412e-02, -9.36072040e-03, 7.58311996e+01, 3.10152496e+02, -1.00756183e+03, 1.56657544e+03, -1.84040879e+04, -3.28017341e-04, 1.30171394e+01, 1.68817900e-02
-9.99999978e-03, -1.17840078e-02, -9.37953498e-03, 7.78439026e+01, 3.08526031e+02, -8.31396973e+02, 1.56212122e+03, -1.66092578e+04, 9.19998623e-04, 1.30281057e+01, 1.76538173e-02
-9.99999978e-03, -2.76438259e-02, -7.94866215e-03, 1.18024193e+02, 3.00000000e+02, -2.51052144e-04, 3.65786138e-04, -1.90780731e-04, 5.37929242e-04, 1.21644201e+01, -2.66490411e-03
-9.99999978e-03, -2.67423075e-02, -7.92097673e-03, 1.15325577e+02, 3.00000000e+02, -1.07468795e-02, 7.21296817e-02, 7.74216279e-03, 6.37676567e-05, 1.22826338e+01, -3.24638886e-03
-9.99999978e-03, -2.71381624e-02, -8.65753181e-03, 1.16521385e+02, 3.00000000e+02, -4.23274841e-03, 5.60783185e-02, -4.35967669e-02, 2.28779390e-04, 1.22050381e+01, 4.58712317e-02
-9.99999978e-03, -2.66311057e-02, -7.91711546e-03, 1.14993759e+02, 3.00000000e+02, -4.73472066e-02, 1.24150693e-01, -1.97046846e-02, -6.32307027e-04, 1.22972393e+01, -4.06546099e-03
-9.99999978e-03, -2.68713702e-02, -8.64738040e-03, 1.15725288e+02, 3.00000000e+02, -9.18915942e-02, 1.80678487e-01, -1.09263629e-01, -1.43839139e-03, 1.22401104e+01, 4.38493118e-02
-9.99999978e-03, -2.67138630e-02, -7.78842904e-03, 1.15238243e+02, 3.00000000e+02, -1.24284551e-02, 7.44019300e-02, 1.45189613e-02, 4.36267816e-04, 1.22868176e+01, -1.19838063e-02
-9.99999978e-03, -2.53068395e-02, -8.74819420e-03, 1.11234367e+02, 3.00000763e+02, -3.57303113e-01, 4.40129042e+00, -4.76029253e+00, -3.34843225e-03, 1.24248915e+01, 4.80876677e-02
-9.99999978e-03, -2.53068320e-02, -8.74820910e-03, 1.11234352e+02, 3.00000763e+02, -3.57304394e-01, 4.40135479e+00, -4.76037979e+00, -3.34847230e-03, 1.24248924e+01, 4.80885431e-02
-9.99999978e-03, -2.49387790e-02, -8.12863745e-03, 1.10163803e+02, 3.00000885e+02, -3.78851146e-01, 3.56436658e+00, -7.13620663e-01, -1.09043461e-03, 1.25174274e+01, 9.45580006e-03
-9.99999978e-03, -2.51980722e-02, -8.04776326e-03, 1.10888565e+02, 3.00000610e+02, -3.45594019e-01, 2.58611774e+00, -3.46350700e-01, -1.06575130e-03, 1.24842682e+01, 5.08902268e-03
-9.99999978e-03, -2.49433089e-02, -8.10253900e-03, 1.10175957e+02, 3.00000885e+02, -4.20646459e-01, 3.53427696e+00, -5.67781210e-01, -1.15166011e-03, 1.25169058e+01, 7.94576947e-03
-9.99999978e-03, -2.57558152e-02, -7.97602721e-03, 1.12456680e+02, 3.00000122e+02, -1.79371797e-02, 8.36617112e-01, 1.44235358e-01, -8.01331364e-04, 1.24071503e+01, 1.12773431e-03
-9.99999978e-03, -2.56871339e-02, -7.95352086e-03, 1.12258949e+02, 3.00000183e+02, -2.53031999e-01, 1.07900190e+00, 3.91053557e-02, -8.34763981e-04, 1.24161921e+01, -2.25597760e-05
-9.99999978e-03, -2.57386714e-02, -7.90880062e-03, 1.12407158e+02, 3.00000092e+02, -2.54682638e-02, 8.56926441e-01, 1.80698067e-01, -5.80593711e-04, 1.24103031e+01, -3.01360385e-03
-9.99999978e-03, -2.38241050e-02, -8.22605751e-03, 1.07143257e+02, 3.00007874e+02, -3.74543667e-02, 1.80390892e+01, -1.21680403e+01, 4.28699044e-04, 1.26319971e+01, 1.04068564e-02
-9.99999978e-03, -2.30454654e-02, -8.78255721e-03, 1.05070984e+02, 3.00043213e+02, 1.50510120e+00, 6.50704498e+01, -1.08158676e+02, 7.02053076e-04, 1.26559858e+01, 3.56843993e-02
