
[Name]
solidYZ1

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ]
1.29470453e-02, -2.40196083e-02, -1.89999994e-02, 6.48089172e+02, 6.69098999e+02, -8.17969589e+01, -1.23344033e+04
1.29470453e-02, -2.50000004e-02, -1.89999994e-02, 6.48136963e+02, 6.70451477e+02, -6.40981293e+01, -1.23719014e+04
1.29470453e-02, -2.50000004e-02, -1.99999996e-02, 6.60535156e+02, 5.29563599e+02, -9.74462891e+01, -1.23457266e+04
1.29470453e-02, -2.40196083e-02, -1.99999996e-02, 6.60396240e+02, 5.27308716e+02, -1.20038116e+02, -1.22967012e+04
1.29470453e-02, -2.30392162e-02, -1.89999994e-02, 6.48000122e+02, 6.67060730e+02, -1.03465622e+02, -1.22511709e+04
1.29470453e-02, -2.30392162e-02, -1.99999996e-02, 6.60206970e+02, 5.23547363e+02, -1.50119629e+02, -1.21946338e+04
1.29470453e-02, -2.20588241e-02, -1.89999994e-02, 6.47901978e+02, 6.69392700e+02, -9.97319260e+01, -1.21544063e+04
1.29470453e-02, -2.20588241e-02, -1.99999996e-02, 6.60002625e+02, 5.26203735e+02, -1.51779694e+02, -1.20849150e+04
1.29470453e-02, -2.10784320e-02, -1.89999994e-02, 6.47817749e+02, 6.77978943e+02, -7.40471497e+01, -1.20503652e+04
1.29470453e-02, -2.10784320e-02, -1.99999996e-02, 6.59808472e+02, 5.38729614e+02, -1.28117615e+02, -1.19706094e+04
1.29470453e-02, -2.00980399e-02, -1.89999994e-02, 6.47766418e+02, 6.86051880e+02, -2.85537071e+01, -1.19469580e+04
1.29470453e-02, -2.00980399e-02, -1.99999996e-02, 6.59637085e+02, 5.50789795e+02, -7.99614105e+01, -1.18599639e+04
1.29470453e-02, -1.91176478e-02, -1.89999994e-02, 6.47766357e+02, 6.87775269e+02, 2.80660343e+01, -1.18510078e+04
1.29470453e-02, -1.91176478e-02, -1.99999996e-02, 6.59537292e+02, 5.53458130e+02, -1.83949623e+01, -1.17610068e+04
