
[Name]
channelYZ2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-1.49439676e-02, -1.49021586e-02, -4.39140759e-02, 9.57152748e+00, 6.99950195e+02, -4.98629284e+00, 6.31217766e+00, -1.50206671e+01, 9.02928066e+00, 1.11808077e-01, -6.51742518e-01
-1.49439676e-02, -1.58018470e-02, -4.47883531e-02, 9.93055820e+00, 6.99956055e+02, -4.06127787e+00, 5.03348827e+00, -1.35760088e+01, 8.91022873e+00, 1.05119281e-01, -6.35214567e-01
-1.49439676e-02, -1.58940516e-02, -4.42306884e-02, 9.72694111e+00, 6.99946899e+02, -4.60616732e+00, 6.09947491e+00, -1.59131498e+01, 8.92807961e+00, 1.08217686e-01, -6.51951432e-01
-1.49439676e-02, -1.68852881e-02, -4.89995554e-02, 1.14694710e+01, 6.99986572e+02, -1.25802875e+00, 1.34998608e+00, -4.41156292e+00, 8.55484962e+00, 6.85624629e-02, -4.78491426e-01
-1.49439676e-02, -1.75387785e-02, -4.90032025e-02, 1.14713755e+01, 6.99985657e+02, -1.33908176e+00, 1.53370249e+00, -4.69556332e+00, 8.48620033e+00, 6.37871325e-02, -4.75134134e-01
-1.49439676e-02, -1.75070334e-02, -4.82428968e-02, 1.12121611e+01, 6.99980774e+02, -1.73058629e+00, 2.06880593e+00, -6.13449192e+00, 8.53297710e+00, 6.82563633e-02, -5.02557993e-01
-1.49439676e-02, -1.70719549e-02, -5.18807471e-02, 1.22256117e+01, 6.99994141e+02, -7.30740905e-01, 6.51998103e-01, -1.83965516e+00, 8.32135677e+00, 5.16288467e-02, -3.62674356e-01
-1.49439676e-02, -1.75325479e-02, -5.11183180e-02, 1.20309362e+01, 6.99992798e+02, -8.11011255e-01, 8.15386534e-01, -2.33712935e+00, 8.32285976e+00, 5.08871749e-02, -3.86745870e-01
-1.49439666e-02, -1.87051110e-02, -5.15055358e-02, 1.20841503e+01, 6.99992798e+02, -8.68556380e-01, 1.41322327e+00, -2.39849997e+00, 8.14277744e+00, 4.13976312e-02, -3.51712883e-01
-1.49439685e-02, -1.62047110e-02, -5.45424521e-02, 1.28075180e+01, 6.99997620e+02, -3.54174435e-01, 2.60277927e-01, -7.82951534e-01, 8.16871071e+00, 3.99146639e-02, -2.79705167e-01
-1.49439676e-02, -1.73092261e-02, -5.42790815e-02, 1.27986717e+01, 6.99997131e+02, -4.08182859e-01, 2.98470736e-01, -9.52947438e-01, 8.04045105e+00, 3.50578576e-02, -2.72805542e-01
