
[Name]
internalXZ2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-1.26054734e-02, -7.27595761e-12, -4.51292749e-03, 4.38560104e+01, 3.16717865e+02, 4.09188647e+03, 1.22119470e+03, -1.62596924e+04, -5.45075955e-03, 1.39127750e+01, 1.06533682e-02
-1.25301946e-02, 0.00000000e+00, -4.69191605e-03, 4.38675919e+01, 3.17967743e+02, 5.34173291e+03, 1.25259436e+03, -2.10927656e+04, -6.20770454e-03, 1.37824507e+01, 1.26426090e-02
-1.24678854e-02, 0.00000000e+00, -4.67386283e-03, 4.38712540e+01, 3.17906647e+02, 5.60765479e+03, 1.28159277e+03, -2.09440879e+04, -6.59952825e-03, 1.37851629e+01, 1.24339741e-02
-1.30268494e-02, 7.27595761e-12, -4.61080857e-03, 4.38172989e+01, 3.17023956e+02, 2.12998657e+03, 9.99393921e+02, -1.69909785e+04, -5.42370137e-03, 1.39050827e+01, 1.11773741e-02
-1.30448276e-02, -2.18278728e-11, -4.81144199e-03, 4.38203163e+01, 3.18341461e+02, 2.94555151e+03, 9.81706116e+02, -2.19854570e+04, -6.17459184e-03, 1.37730675e+01, 1.32824015e-02
-1.21455416e-02, 1.45519152e-11, -3.10064200e-03, 4.38113327e+01, 3.12370392e+02, 1.73542651e+03, 9.85013733e+02, -1.77491296e+03, -5.47580095e-03, 1.43332100e+01, 3.23962420e-03
-1.19242538e-02, -1.45519152e-11, -3.44816362e-03, 4.37943001e+01, 3.13269196e+02, 2.36737500e+03, 9.65678589e+02, -2.53216357e+03, -6.72849827e-03, 1.42275181e+01, 4.27706307e-03
-1.22052943e-02, 1.45519152e-11, -3.60515062e-03, 4.37974892e+01, 3.13290192e+02, 1.79787585e+03, 9.74351318e+02, -2.77693799e+03, -5.98481530e-03, 1.42401695e+01, 4.63599619e-03
-1.29237324e-02, 0.00000000e+00, -4.06522723e-03, 4.37863998e+01, 3.13491882e+02, 4.48087128e+02, 9.55530640e+02, -3.55470557e+03, -3.20432452e-03, 1.42550068e+01, 5.51867578e-03
-1.22181214e-02, -1.45519152e-11, -4.32054466e-03, 4.38141708e+01, 3.15487915e+02, 5.45904980e+03, 9.86771973e+02, -1.00657900e+04, -4.76197060e-03, 1.40137587e+01, 8.55455548e-03
-1.19947502e-02, 0.00000000e+00, -4.43893252e-03, 4.38201523e+01, 3.16404755e+02, 7.27785693e+03, 9.95290649e+02, -1.33802227e+04, -5.75855281e-03, 1.39084682e+01, 9.87099577e-03
-1.31096188e-02, -2.18278728e-11, -4.81463876e-03, 4.38298149e+01, 3.18134460e+02, 2.32941089e+03, 1.02150220e+03, -2.11283594e+04, -5.27043594e-03, 1.37971039e+01, 1.28979078e-02
-1.26830479e-02, 0.00000000e+00, -3.37964413e-03, 4.38048401e+01, 3.12395020e+02, 7.01137573e+02, 9.72205078e+02, -2.22571289e+03, -3.29202507e-03, 1.43574963e+01, 3.71498382e-03
-1.34544950e-02, 7.27595761e-12, -3.49141052e-03, 4.38070335e+01, 3.12402008e+02, -3.18587830e+02, 9.49989258e+02, -2.35161841e+03, -7.92668143e-04, 1.43859882e+01, 3.08283069e-03
-1.37565192e-02, -7.27595761e-12, -4.64223325e-03, 4.37882156e+01, 3.16649719e+02, -2.60688916e+03, 8.47739990e+02, -1.36185488e+04, 2.19941605e-03, 1.39735174e+01, 1.04481038e-02
-1.36379665e-02, -1.45519152e-11, -4.81226575e-03, 4.37832642e+01, 3.17209290e+02, -2.60165405e+03, 8.31070679e+02, -1.59287549e+04, 1.62489829e-03, 1.39145718e+01, 1.16013112e-02
-1.34594627e-02, -7.27595761e-12, -4.60886909e-03, 4.37791862e+01, 3.16266418e+02, -1.90757324e+03, 8.43468689e+02, -1.27336123e+04, 2.22211413e-04, 1.40012627e+01, 1.01157511e-02
-1.19402520e-02, -7.27595761e-12, -4.09242045e-03, 4.38172607e+01, 3.15254211e+02, 5.71959766e+03, 9.93145996e+02, -9.24874512e+03, -5.92062436e-03, 1.40241032e+01, 7.93622062e-03
-1.19382981e-02, 7.27595761e-12, -4.40700632e-03, 4.38233299e+01, 3.16209503e+02, 7.39640430e+03, 1.00210925e+03, -1.23116162e+04, -5.72884222e-03, 1.39250183e+01, 9.48861707e-03
-1.32903140e-02, 0.00000000e+00, -4.06967523e-03, 4.37765350e+01, 3.13786835e+02, -2.47737823e+02, 9.19604492e+02, -3.73821460e+03, -1.33244786e-03, 1.42376041e+01, 5.58071816e-03
-1.36996089e-02, 2.91038305e-11, -3.22690443e-03, 4.38267059e+01, 3.11860413e+02, -7.17149292e+02, 9.64065735e+02, -1.76134229e+03, 6.20628824e-04, 1.44502239e+01, 1.84903527e-03
-1.38440970e-02, 0.00000000e+00, -3.39845335e-03, 4.38223000e+01, 3.12432465e+02, -1.04269983e+03, 9.68638794e+02, -2.24323706e+03, 1.68033899e-03, 1.43966351e+01, 2.65853060e-03
-1.25030773e-02, 0.00000000e+00, -2.74516013e-03, 4.38302193e+01, 3.11269623e+02, 8.70308350e+02, 9.90543030e+02, -9.85932068e+02, -3.31351929e-03, 1.44622126e+01, 1.59026473e-03
-1.40610840e-02, 0.00000000e+00, -4.02342156e-03, 4.38005867e+01, 3.14203979e+02, -1.74010779e+03, 9.50748169e+02, -3.86618164e+03, 3.68829397e-03, 1.42219257e+01, 5.33344503e-03
-1.35600735e-02, 1.45519152e-11, -3.13311047e-03, 4.38232307e+01, 3.11712891e+02, -5.00345123e+02, 9.55026794e+02, -1.62559375e+03, -1.05766987e-04, 1.44582710e+01, 1.60106528e-03
-1.17968265e-02, -2.91038305e-11, -3.18114273e-03, 4.37890358e+01, 3.13156708e+02, 2.54795093e+03, 9.58616211e+02, -2.02389612e+03, -6.81836996e-03, 1.42298698e+01, 3.73323867e-03
-1.16313761e-02, -7.27595761e-12, -3.83552979e-03, 4.38249207e+01, 3.16007690e+02, 1.03768389e+04, 1.02990527e+03, -1.01968643e+04, -1.10594444e-02, 1.39099255e+01, 4.54713358e-03
-1.13900192e-02, 7.27595761e-12, -3.51409521e-03, 4.38606491e+01, 3.15607971e+02, 1.12140703e+04, 1.22392664e+03, -8.15683887e+03, -9.48630180e-03, 1.39334145e+01, 6.80277031e-03
