
[Name]
internalYZ2

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
-1.29459566e-02, -2.09275410e-02, -4.98878025e-03, 8.25711594e+01, 3.00154327e+02, -2.66914768e+01, 1.28426331e+02, -2.60653992e+02, -1.78981572e-05, 1.38964348e+01, 5.15955538e-02
-1.29459566e-02, -2.04690080e-02, -5.43527864e-03, 8.15582504e+01, 3.00292786e+02, -6.31021500e+00, 1.90226196e+02, -4.74985809e+02, 3.87862558e-04, 1.38299570e+01, 6.13798350e-02
-1.29459575e-02, -2.02756096e-02, -5.15845045e-03, 8.11269379e+01, 3.00277283e+02, 8.97144508e+00, 1.70614700e+02, -4.15240021e+02, 9.89080407e-04, 1.38958321e+01, 5.20235077e-02
-1.29459566e-02, -2.08115689e-02, -4.43081465e-03, 8.23090744e+01, 3.00082764e+02, -1.18943386e+01, 7.81757278e+01, -9.83048248e+01, 7.05031678e-04, 1.40150757e+01, 3.46232988e-02
-1.29459566e-02, -2.16247737e-02, -5.05628902e-03, 8.41482391e+01, 3.00085266e+02, -2.37543392e+00, 8.67790756e+01, -1.56958649e+02, 2.19886214e-03, 1.38469315e+01, 5.86105473e-02
-1.29459575e-02, -2.18424816e-02, -5.40761044e-03, 8.46453781e+01, 3.00111450e+02, -3.35961437e+00, 1.07182236e+02, -2.38400146e+02, 3.33653297e-04, 1.37583389e+01, 6.77468181e-02
-1.29459556e-02, -2.15423461e-02, -5.39903808e-03, 8.39589386e+01, 3.00144745e+02, -1.14844084e+01, 1.25158676e+02, -2.83098999e+02, 1.22176250e-04, 1.37814178e+01, 6.60264865e-02
-1.29459566e-02, -2.27194913e-02, -5.37836552e-03, 8.66486664e+01, 3.00048157e+02, -1.21711528e+00, 6.01802254e+01, -1.16273743e+02, -1.39498548e-03, 1.37111835e+01, 7.35526532e-02
-1.29459566e-02, -2.26871390e-02, -5.42614702e-03, 8.65703201e+01, 3.00057983e+02, -1.83187103e+01, 6.95916672e+01, -1.66737305e+02, -1.70139980e-03, 1.36988125e+01, 7.43019655e-02
-1.29459566e-02, -2.27538962e-02, -5.44758607e-03, 8.67260742e+01, 3.00054932e+02, -1.28319750e+01, 7.00272980e+01, -1.65368179e+02, -1.56779191e-03, 1.36848135e+01, 7.55514652e-02
-1.29459556e-02, -3.36182378e-02, -5.45781944e-03, 1.19248993e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.14506362e-04, 1.21646576e+01, 1.64746314e-01
-1.29459566e-02, -3.43879499e-02, -5.48352441e-03, 1.21445183e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.74716430e-03, 1.19861851e+01, 1.09581426e-01
-1.29459566e-02, -3.44125219e-02, -5.46771614e-03, 1.21503464e+02, 2.99999969e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.70737603e-03, 1.19875393e+01, 1.05380796e-01
-1.29459566e-02, -3.38185728e-02, -5.29660750e-03, 1.19701157e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -9.82308947e-03, 1.21894016e+01, 1.25755742e-01
-1.29459556e-02, -2.69351900e-02, -4.50677657e-03, 9.73631287e+01, 3.00000000e+02, -3.41552077e-05, 4.34799083e-02, -2.13119201e-02, 2.36192904e-03, 1.34933510e+01, 6.67317361e-02
-1.29459566e-02, -2.69081257e-02, -4.99009294e-03, 9.72828217e+01, 3.00000000e+02, -7.79775344e-03, 6.88572973e-02, -4.96903136e-02, 1.39907282e-03, 1.34288397e+01, 9.34448242e-02
-1.29459566e-02, -2.73987893e-02, -4.99784481e-03, 9.86410675e+01, 3.00000000e+02, -9.22898483e-03, 4.20547016e-02, -3.56477425e-02, -2.46999040e-03, 1.33739815e+01, 9.56179649e-02
-1.29459566e-02, -2.76102703e-02, -4.48644953e-03, 9.92322159e+01, 3.00000000e+02, -1.50085462e-03, 5.07254060e-03, -2.23016817e-04, -2.88594235e-03, 1.34222012e+01, 6.80025145e-02
-1.29459566e-02, -2.26124227e-02, -5.40554896e-03, 8.64027939e+01, 3.00057983e+02, -5.78139257e+00, 6.82658768e+01, -1.36404785e+02, -1.35239365e-03, 1.37128925e+01, 7.36436099e-02
-1.29459566e-02, -2.20436081e-02, -5.62779792e-03, 8.51094971e+01, 3.00164185e+02, -3.85171967e+01, 1.68249878e+02, -6.48583740e+02, -6.26686960e-04, 1.36405106e+01, 7.42895454e-02
-1.29459566e-02, -2.26517655e-02, -5.50000509e-03, 8.64947510e+01, 3.00083832e+02, -2.06959457e+01, 9.67945404e+01, -3.18334137e+02, -1.66127458e-03, 1.36651783e+01, 7.60879517e-02
-1.29459566e-02, -3.49998884e-02, -4.79644630e-03, 1.22825226e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.72383108e-03, 1.23595495e+01, 6.56728027e-03
-1.29459566e-02, -3.50000001e-02, -4.79652919e-03, 1.22825500e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.72379429e-03, 1.23595076e+01, 6.56766957e-03
-1.29459566e-02, -3.50000001e-02, -3.84802651e-03, 1.24039276e+02, 2.99999969e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.13280716e-03, 1.28473129e+01, -5.60212974e-03
-1.29459566e-02, -3.49998809e-02, -3.84800788e-03, 1.24038895e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.13303277e-03, 1.28473206e+01, -5.60165802e-03
-1.29459566e-02, -2.81931050e-02, -4.55222744e-03, 1.00901947e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -9.00828280e-04, 1.33455343e+01, 7.52540678e-02
-1.29459575e-02, -2.86564548e-02, -4.79812641e-03, 1.02234184e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.25495438e-03, 1.32445269e+01, 9.61812437e-02
-1.29459566e-02, -2.80188713e-02, -5.39210998e-03, 1.00356712e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.72084419e-03, 1.32346544e+01, 1.28753528e-01
-1.29459566e-02, -2.09885594e-02, -5.42792119e-03, 8.27119904e+01, 3.00219879e+02, -9.62060928e+00, 1.69362991e+02, -3.87571655e+02, 2.60836445e-04, 1.37932863e+01, 6.44766837e-02
-1.29459566e-02, -2.07826346e-02, -5.75402752e-03, 8.22629547e+01, 3.00475800e+02, 1.07848221e+02, 3.28106323e+02, -1.70725391e+03, 1.21346046e-03, 1.36433468e+01, 6.94180578e-02
-1.29459566e-02, -2.14648191e-02, -6.07991731e-03, 8.37883530e+01, 3.00452942e+02, -4.04312057e+01, 3.49427856e+02, -1.94539136e+03, 7.07526575e-04, 1.34716759e+01, 7.95704424e-02
-1.29459566e-02, -2.14648191e-02, -6.07991731e-03, 8.37883530e+01, 3.00452942e+02, -4.04312057e+01, 3.49427856e+02, -1.94539136e+03, 7.07526575e-04, 1.34716759e+01, 7.95704424e-02
-1.29459566e-02, -2.14648191e-02, -6.07991731e-03, 8.37883530e+01, 3.00452942e+02, -4.04312057e+01, 3.49427856e+02, -1.94539136e+03, 7.07526575e-04, 1.34716759e+01, 7.95704424e-02
-1.29459566e-02, -1.96972284e-02, -6.07991731e-03, 7.98801956e+01, 3.01136169e+02, -4.29582024e+01, 5.65625671e+02, -4.12482861e+03, 4.51151194e-04, 1.35193281e+01, 6.59510791e-02
-1.29459566e-02, -1.96972284e-02, -6.07991731e-03, 7.98801956e+01, 3.01136169e+02, -4.29582024e+01, 5.65625671e+02, -4.12482861e+03, 4.51151194e-04, 1.35193281e+01, 6.59510791e-02
-1.29459566e-02, -2.05810238e-02, -6.06260728e-03, 8.18188629e+01, 3.00749390e+02, -4.58179626e+01, 4.75598938e+02, -2.98047534e+03, 1.58984913e-04, 1.34937878e+01, 7.28124455e-02
-1.29459566e-02, -2.03037132e-02, -5.69085404e-03, 8.11941986e+01, 3.00519043e+02, -1.32700027e+02, 3.12337463e+02, -1.52923999e+03, -4.79303300e-04, 1.37059832e+01, 6.42058104e-02
-1.29459556e-02, -1.96609087e-02, -4.60494729e-03, 7.97916565e+01, 3.00182251e+02, -3.06138992e+01, 1.20897446e+02, -1.96611725e+02, 9.44588799e-04, 1.40839996e+01, 3.37824821e-02
-1.29459566e-02, -2.18956824e-02, -4.10237769e-03, 8.47624054e+01, 3.00021210e+02, -1.33397222e+00, 2.89747295e+01, -2.53803482e+01, 1.68860937e-03, 1.39900513e+01, 2.53323223e-02
-1.29459566e-02, -2.18946971e-02, -4.08945885e-03, 8.47601089e+01, 3.00020874e+02, -1.21684301e+00, 2.87356300e+01, -2.45932922e+01, 1.70672231e-03, 1.39917870e+01, 2.48427596e-02
-1.29459566e-02, -2.18881872e-02, -4.08985140e-03, 8.47447968e+01, 3.00021118e+02, -1.45969629e+00, 2.89851208e+01, -2.47950420e+01, 1.68663799e-03, 1.39921331e+01, 2.48381346e-02
-1.29459556e-02, -3.40248048e-02, -4.13547736e-03, 1.20253807e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.61791050e-03, 1.26298342e+01, 8.49757157e-03
-1.29459566e-02, -3.42010036e-02, -4.69945651e-03, 1.20669945e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.15125662e-03, 1.23854847e+01, 3.64943072e-02
-1.29459566e-02, -3.49999443e-02, -4.79655014e-03, 1.22825371e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -4.72263014e-03, 1.23595037e+01, 6.57127472e-03
-1.29459575e-02, -3.34663838e-02, -4.96951351e-03, 1.18556000e+02, 3.00000000e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -3.77522642e-03, 1.24018173e+01, 1.01451270e-01
