
[Name]
solidXZ

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ]
1.99784935e-02, 0.00000000e+00, 1.80655136e-03, 4.77176422e+02, 2.00646133e+04, 1.11602002e+03, 8.12363281e+03
1.94309689e-02, 0.00000000e+00, 4.85293451e-04, 4.53639374e+02, 3.06044609e+04, 1.24837952e+03, 5.29211719e+03
1.89121813e-02, 0.00000000e+00, 1.96946645e-03, 4.54118591e+02, 2.57960898e+04, 1.24218408e+03, 1.62685508e+04
1.32149719e-02, 0.00000000e+00, 3.32763535e-03, 4.49840179e+02, -9.13076758e+03, 1.18566638e+03, 1.85714063e+04
1.32070165e-02, 0.00000000e+00, 4.14906070e-03, 4.65982361e+02, -4.46591504e+03, 1.09787708e+03, 1.79909063e+04
1.40149212e-02, 0.00000000e+00, 4.07964736e-03, 4.58729248e+02, -3.75123047e+03, 1.14916028e+03, 2.21225078e+04
-6.79825805e-03, 0.00000000e+00, -1.05379289e-03, 4.37981934e+02, 1.54673516e+04, 1.03304883e+03, -9.03090039e+03
-6.33880775e-03, 0.00000000e+00, 6.90963789e-05, 4.38574219e+02, 1.62847988e+04, 1.02777393e+03, -3.74319238e+03
-5.89539716e-03, 0.00000000e+00, -1.06829847e-03, 4.50410645e+02, 1.27571563e+04, 9.80951172e+02, -4.66482227e+03
-7.94498902e-03, 0.00000000e+00, -3.07226088e-03, 4.43405212e+02, 1.08750293e+04, 1.00574927e+03, -1.31021416e+04
-9.09540523e-03, 0.00000000e+00, -3.00080748e-03, 4.29070953e+02, 1.27192920e+04, 1.06437988e+03, -1.88081602e+04
-8.11799150e-03, 0.00000000e+00, -1.89605728e-03, 4.25743744e+02, 1.68806484e+04, 1.07121143e+03, -1.29479014e+04
-8.00000038e-03, 0.00000000e+00, -1.99999996e-02, 6.68178406e+02, -2.85251587e+02, 1.58441132e+02, -1.16174219e+04
-8.99999961e-03, 0.00000000e+00, -1.99999996e-02, 6.68508606e+02, -3.66665161e+02, 1.57678513e+02, -1.16292637e+04
-8.99999961e-03, 0.00000000e+00, -1.89999994e-02, 6.56871216e+02, -3.64616516e+02, 1.79814285e+02, -1.16718633e+04
-8.00000038e-03, 0.00000000e+00, -1.89999994e-02, 6.56554443e+02, -2.68977020e+02, 1.80505936e+02, -1.16535430e+04
-7.00000022e-03, 0.00000000e+00, -1.99999996e-02, 6.67911194e+02, -2.13558167e+02, 1.57530640e+02, -1.15814658e+04
-7.00000022e-03, 0.00000000e+00, -1.89999994e-02, 6.56326416e+02, -1.86600586e+02, 1.79953430e+02, -1.16103125e+04
-6.00000005e-03, 0.00000000e+00, -1.99999996e-02, 6.67705627e+02, -1.55832260e+02, 1.56205750e+02, -1.15268945e+04
-6.00000005e-03, 0.00000000e+00, -1.89999994e-02, 6.56173462e+02, -1.20423248e+02, 1.78986526e+02, -1.15479434e+04
-4.99999989e-03, 0.00000000e+00, -1.99999996e-02, 6.67536621e+02, -1.11402496e+02, 1.55703827e+02, -1.14575547e+04
-4.99999989e-03, 0.00000000e+00, -1.89999994e-02, 6.56077820e+02, -7.00807190e+01, 1.78445663e+02, -1.14712139e+04
-4.00000019e-03, 0.00000000e+00, -1.99999996e-02, 6.67406738e+02, -7.68833466e+01, 1.55711609e+02, -1.13797871e+04
-4.00000019e-03, 0.00000000e+00, -1.89999994e-02, 6.56026245e+02, -3.32479477e+01, 1.78239456e+02, -1.13862568e+04
-3.00000003e-03, 0.00000000e+00, -1.99999996e-02, 6.67304321e+02, -5.59654121e+01, 1.55818604e+02, -1.12984805e+04
-3.00000003e-03, 0.00000000e+00, -1.89999994e-02, 6.56004211e+02, -1.15032139e+01, 1.78150940e+02, -1.12981592e+04
-2.00000009e-03, 0.00000000e+00, -1.99999996e-02, 6.67212891e+02, -4.62379494e+01, 1.56262177e+02, -1.12155869e+04
-2.00000009e-03, 0.00000000e+00, -1.89999994e-02, 6.55997131e+02, -2.54917002e+00, 1.78311432e+02, -1.12100098e+04
-1.00000005e-03, 0.00000000e+00, -1.99999996e-02, 6.67127197e+02, -4.21409569e+01, 1.56624023e+02, -1.11355547e+04
-1.00000005e-03, 0.00000000e+00, -1.89999994e-02, 6.55994568e+02, -1.95693934e+00, 1.78491394e+02, -1.11261357e+04
-6.93889390e-18, 0.00000000e+00, -1.99999996e-02, 6.67051392e+02, -4.28581238e+01, 1.56799133e+02, -1.10637891e+04
-1.37161352e-17, 0.00000000e+00, -1.89999994e-02, 6.55989746e+02, -8.06331635e+00, 1.78642181e+02, -1.10511582e+04
1.00000005e-03, 0.00000000e+00, -1.99999996e-02, 6.66976074e+02, -4.90665398e+01, 1.57256317e+02, -1.10027373e+04
1.00000005e-03, 0.00000000e+00, -1.89999994e-02, 6.55975586e+02, -2.01988182e+01, 1.79055573e+02, -1.09874941e+04
-1.00000005e-03, 0.00000000e+00, -1.79999992e-02, 6.44880310e+02, 8.26491165e+01, 2.22280518e+02, -1.11028633e+04
2.53806308e-15, 0.00000000e+00, -1.79999992e-02, 6.44954102e+02, 6.48535767e+01, 2.22346680e+02, -1.10203193e+04
1.00000005e-03, 0.00000000e+00, -1.79999992e-02, 6.45006348e+02, 3.96537018e+01, 2.22702698e+02, -1.09512129e+04
-3.00000003e-03, 0.00000000e+00, -1.79999992e-02, 6.44706421e+02, 8.46174774e+01, 2.22726044e+02, -1.12971641e+04
-2.00000009e-03, 0.00000000e+00, -1.79999992e-02, 6.44793945e+02, 9.02489471e+01, 2.22417694e+02, -1.11963955e+04
-4.99999989e-03, 0.00000000e+00, -1.79999992e-02, 6.44591064e+02, 2.10980301e+01, 2.23800919e+02, -1.15026855e+04
-4.00000019e-03, 0.00000000e+00, -1.79999992e-02, 6.44632813e+02, 6.23911743e+01, 2.23200745e+02, -1.14008262e+04
-7.00000022e-03, 0.00000000e+00, -1.79999992e-02, 6.44682556e+02, -1.23486526e+02, 2.25121933e+02, -1.16778369e+04
-6.00000005e-03, 0.00000000e+00, -1.79999992e-02, 6.44600708e+02, -4.04463463e+01, 2.24491577e+02, -1.15971133e+04
-8.99999961e-03, 0.00000000e+00, -1.79999992e-02, 6.45148804e+02, -3.52906311e+02, 2.24867004e+02, -1.17728418e+04
-8.00000038e-03, 0.00000000e+00, -1.79999992e-02, 6.44858337e+02, -2.28107391e+02, 2.25350510e+02, -1.17385898e+04
-2.00000009e-03, 0.00000000e+00, -1.70000009e-02, 6.33607544e+02, 1.96065186e+02, 2.66582703e+02, -1.11763877e+04
-1.00000005e-03, 0.00000000e+00, -1.70000009e-02, 6.33794312e+02, 1.77334076e+02, 2.66173248e+02, -1.10694199e+04
2.53814439e-15, 0.00000000e+00, -1.70000009e-02, 6.33955566e+02, 1.45168488e+02, 2.66107056e+02, -1.09769648e+04
-4.00000019e-03, 0.00000000e+00, -1.70000009e-02, 6.33223633e+02, 1.77134796e+02, 2.68146912e+02, -1.14178379e+04
-3.00000003e-03, 0.00000000e+00, -1.70000009e-02, 6.33410889e+02, 1.97278259e+02, 2.67265625e+02, -1.12940957e+04
-6.00000005e-03, 0.00000000e+00, -1.70000009e-02, 6.32972046e+02, 6.09218102e+01, 2.70156616e+02, -1.16603535e+04
-4.99999989e-03, 0.00000000e+00, -1.70000009e-02, 6.33068726e+02, 1.32443634e+02, 2.69148865e+02, -1.15420664e+04
-8.00000038e-03, 0.00000000e+00, -1.70000009e-02, 6.33063904e+02, -1.67242065e+02, 2.71437683e+02, -1.18502949e+04
-7.00000022e-03, 0.00000000e+00, -1.70000009e-02, 6.32960938e+02, -3.88936234e+01, 2.70993164e+02, -1.17655889e+04
-8.99999961e-03, 0.00000000e+00, -1.70000009e-02, 6.33308960e+02, -3.22986023e+02, 2.71283020e+02, -1.19068223e+04
-1.00000005e-03, 0.00000000e+00, -1.60000008e-02, 6.22748657e+02, 2.85285004e+02, 3.10153748e+02, -1.10219668e+04
-3.01408204e-15, 0.00000000e+00, -1.60000008e-02, 6.23008606e+02, 2.34579117e+02, 3.09923218e+02, -1.09170596e+04
1.00000005e-03, 0.00000000e+00, -1.60000008e-02, 6.23212158e+02, 1.72590271e+02, 3.10222839e+02, -1.08341934e+04
1.00000005e-03, 0.00000000e+00, -1.70000009e-02, 6.34080078e+02, 1.03790421e+02, 2.66437805e+02, -1.09016201e+04
-3.00000003e-03, 0.00000000e+00, -1.60000008e-02, 6.22121216e+02, 3.31148193e+02, 3.11950500e+02, -1.12853984e+04
-2.00000009e-03, 0.00000000e+00, -1.60000008e-02, 6.22446411e+02, 3.19208191e+02, 3.10860901e+02, -1.11460918e+04
-4.99999989e-03, 0.00000000e+00, -1.60000008e-02, 6.21504028e+02, 2.70437286e+02, 3.14818115e+02, -1.15875918e+04
-4.00000019e-03, 0.00000000e+00, -1.60000008e-02, 6.21797363e+02, 3.16283386e+02, 3.13309387e+02, -1.14346758e+04
-7.00000022e-03, 0.00000000e+00, -1.60000008e-02, 6.21141174e+02, 7.40271301e+01, 3.17636169e+02, -1.18738887e+04
-6.00000005e-03, 0.00000000e+00, -1.60000008e-02, 6.21273438e+02, 1.90375381e+02, 3.16324890e+02, -1.17367500e+04
-8.99999961e-03, 0.00000000e+00, -1.60000008e-02, 6.21317261e+02, -2.68285767e+02, 3.18835449e+02, -1.20763271e+04
-8.00000038e-03, 0.00000000e+00, -1.60000008e-02, 6.21143677e+02, -7.92120895e+01, 3.18541809e+02, -1.19901328e+04
-3.01408204e-15, 0.00000000e+00, -1.49999997e-02, 6.12132446e+02, 3.35107666e+02, 3.53735718e+02, -1.08353887e+04
1.00000005e-03, 0.00000000e+00, -1.49999997e-02, 6.12423462e+02, 2.46844193e+02, 3.53983765e+02, -1.07434727e+04
-2.00000009e-03, 0.00000000e+00, -1.49999997e-02, 6.11322998e+02, 4.64117920e+02, 3.55236694e+02, -1.11008047e+04
-1.00000005e-03, 0.00000000e+00, -1.49999997e-02, 6.11760010e+02, 4.09789856e+02, 3.54175415e+02, -1.09555146e+04
-4.00000019e-03, 0.00000000e+00, -1.49999997e-02, 6.10356201e+02, 4.86158386e+02, 3.58753174e+02, -1.14479092e+04
-3.00000003e-03, 0.00000000e+00, -1.49999997e-02, 6.10845093e+02, 4.91598938e+02, 3.56808655e+02, -1.12668613e+04
-6.00000005e-03, 0.00000000e+00, -1.49999997e-02, 6.09492615e+02, 3.55842407e+02, 3.63093567e+02, -1.18250518e+04
-4.99999989e-03, 0.00000000e+00, -1.49999997e-02, 6.09891846e+02, 4.42375031e+02, 3.60910767e+02, -1.16368076e+04
-8.00000038e-03, 0.00000000e+00, -1.49999997e-02, 6.09068726e+02, 4.43477631e+01, 3.66638245e+02, -1.21597813e+04
-7.00000022e-03, 0.00000000e+00, -1.49999997e-02, 6.09202820e+02, 2.23569794e+02, 3.65081940e+02, -1.20029248e+04
-8.99999961e-03, 0.00000000e+00, -1.49999997e-02, 6.09136841e+02, -1.80891022e+02, 3.67521362e+02, -1.22845313e+04
-1.70000009e-02, 0.00000000e+00, -1.99999996e-02, 6.74048584e+02, -1.18415771e+03, 1.30568192e+02, -1.03485957e+04
-1.79999992e-02, 0.00000000e+00, -1.99999996e-02, 6.75103760e+02, -1.27795081e+03, 1.29509567e+02, -9.99627539e+03
-1.79999992e-02, 0.00000000e+00, -1.89999994e-02, 6.65100891e+02, -1.46561328e+03, 1.49159103e+02, -1.00408574e+04
-1.70000009e-02, 0.00000000e+00, -1.89999994e-02, 6.63691528e+02, -1.35369922e+03, 1.52242905e+02, -1.03980752e+04
-1.60000008e-02, 0.00000000e+00, -1.99999996e-02, 6.73072815e+02, -1.08518384e+03, 1.34922043e+02, -1.06643359e+04
-1.60000008e-02, 0.00000000e+00, -1.89999994e-02, 6.62397705e+02, -1.23395020e+03, 1.57076340e+02, -1.07163750e+04
-1.49999997e-02, 0.00000000e+00, -1.99999996e-02, 6.72178772e+02, -9.86118164e+02, 1.40188477e+02, -1.09359277e+04
-1.49999997e-02, 0.00000000e+00, -1.89999994e-02, 6.61226318e+02, -1.11070215e+03, 1.62256226e+02, -1.09897236e+04
-1.40000004e-02, 0.00000000e+00, -1.99999996e-02, 6.71346497e+02, -8.84119019e+02, 1.42528885e+02, -1.11577451e+04
-1.40000004e-02, 0.00000000e+00, -1.89999994e-02, 6.60178223e+02, -9.83539551e+02, 1.65442963e+02, -1.12137305e+04
-1.30000003e-02, 0.00000000e+00, -1.99999996e-02, 6.70604919e+02, -7.72617920e+02, 1.44920013e+02, -1.13335078e+04
-1.30000003e-02, 0.00000000e+00, -1.89999994e-02, 6.59261414e+02, -8.49837769e+02, 1.68379791e+02, -1.13903789e+04
-1.20000001e-02, 0.00000000e+00, -1.99999996e-02, 6.69958679e+02, -6.62323181e+02, 1.48740952e+02, -1.14678281e+04
-1.20000001e-02, 0.00000000e+00, -1.89999994e-02, 6.58478149e+02, -7.17650146e+02, 1.71969116e+02, -1.15229199e+04
-1.09999999e-02, 0.00000000e+00, -1.99999996e-02, 6.69394043e+02, -5.58629395e+02, 1.52217422e+02, -1.15597422e+04
-1.09999999e-02, 0.00000000e+00, -1.89999994e-02, 6.57823242e+02, -5.92141357e+02, 1.75172333e+02, -1.16117568e+04
-9.99999978e-03, 0.00000000e+00, -1.99999996e-02, 6.68908264e+02, -4.59207489e+02, 1.55268005e+02, -1.16115469e+04
-9.99999978e-03, 0.00000000e+00, -1.89999994e-02, 6.57289917e+02, -4.73528900e+02, 1.77844574e+02, -1.16595957e+04
-1.09999999e-02, 0.00000000e+00, -1.79999992e-02, 6.46148682e+02, -6.54674561e+02, 2.21464310e+02, -1.17369316e+04
-9.99999978e-03, 0.00000000e+00, -1.79999992e-02, 6.45573242e+02, -4.96125305e+02, 2.23555893e+02, -1.17742363e+04
-1.30000003e-02, 0.00000000e+00, -1.79999992e-02, 6.47802490e+02, -1.00327148e+03, 2.15272980e+02, -1.15276934e+04
-1.20000001e-02, 0.00000000e+00, -1.79999992e-02, 6.46888428e+02, -8.24984070e+02, 2.18660919e+02, -1.16559072e+04
-1.49999997e-02, 0.00000000e+00, -1.79999992e-02, 6.50169678e+02, -1.36222437e+03, 2.06968460e+02, -1.11220352e+04
-1.40000004e-02, 0.00000000e+00, -1.79999992e-02, 6.48896240e+02, -1.18420972e+03, 2.11467438e+02, -1.13502207e+04
-1.70000009e-02, 0.00000000e+00, -1.79999992e-02, 6.53233887e+02, -1.69760535e+03, 1.95508698e+02, -1.05173613e+04
-1.60000008e-02, 0.00000000e+00, -1.79999992e-02, 6.51617798e+02, -1.53440649e+03, 2.01476410e+02, -1.08434033e+04
-1.79999992e-02, 0.00000000e+00, -1.79999992e-02, 6.55006653e+02, -1.84799829e+03, 1.89316956e+02, -1.01482578e+04
-9.99999978e-03, 0.00000000e+00, -1.70000009e-02, 6.33722168e+02, -5.03750427e+02, 2.70375610e+02, -1.19277383e+04
-1.20000001e-02, 0.00000000e+00, -1.70000009e-02, 6.35142090e+02, -9.24465881e+02, 2.66002014e+02, -1.18366182e+04
-1.09999999e-02, 0.00000000e+00, -1.70000009e-02, 6.34326904e+02, -7.05842651e+02, 2.68626312e+02, -1.19062305e+04
-1.40000004e-02, 0.00000000e+00, -1.70000009e-02, 6.37452148e+02, -1.38779712e+03, 2.58117859e+02, -1.15378740e+04
-1.30000003e-02, 0.00000000e+00, -1.70000009e-02, 6.36181213e+02, -1.15395361e+03, 2.62502197e+02, -1.17146836e+04
-1.60000008e-02, 0.00000000e+00, -1.70000009e-02, 6.40687012e+02, -1.84309546e+03, 2.46368927e+02, -1.10180752e+04
