
[Name]
solidYZ2

[Data]
X [ m ], Y [ m ], Z [ m ], Temperature [ K ], Temperature.Gradient X [ m^-1 K ], Temperature.Gradient Y [ m^-1 K ], Temperature.Gradient Z [ m^-1 K ]
-1.49439676e-02, -4.90196107e-04, 5.55528048e-03, 4.67399841e+02, -2.72169238e+03, 1.31060376e+03, 2.38738438e+04
-1.49439676e-02, 4.90196107e-04, 5.55528048e-03, 4.68666534e+02, -2.72121606e+03, 1.26004858e+03, 2.37300273e+04
-1.49439676e-02, 4.90196107e-04, 6.25484716e-03, 4.85413818e+02, -2.53420020e+03, 1.16392395e+03, 2.25136152e+04
-1.49439676e-02, -4.90196107e-04, 6.25484716e-03, 4.84246552e+02, -2.53678491e+03, 1.21126074e+03, 2.26422090e+04
-1.49439676e-02, -1.47058826e-03, 5.55528048e-03, 4.66089478e+02, -2.72121387e+03, 1.35051636e+03, 2.40169336e+04
-1.49439676e-02, -1.47058826e-03, 6.25484716e-03, 4.83035919e+02, -2.53883838e+03, 1.25318103e+03, 2.27739570e+04
-1.49439676e-02, -2.45098048e-03, 5.55528048e-03, 4.64741302e+02, -2.71991846e+03, 1.38857666e+03, 2.41542852e+04
-1.49439676e-02, -2.45098048e-03, 6.25484716e-03, 4.81784973e+02, -2.54032007e+03, 1.29423413e+03, 2.29053984e+04
-1.49439676e-02, -3.43137234e-03, 5.55528048e-03, 4.63354004e+02, -2.71829858e+03, 1.43617432e+03, 2.42896523e+04
-1.49439676e-02, -3.43137258e-03, 6.25484716e-03, 4.80492218e+02, -2.54124951e+03, 1.33987439e+03, 2.30379219e+04
-1.49439676e-02, -4.41176491e-03, 5.55528048e-03, 4.61910828e+02, -2.71534033e+03, 1.49035718e+03, 2.44287695e+04
-1.49439676e-02, -4.41176491e-03, 6.25484716e-03, 4.79151184e+02, -2.54126807e+03, 1.39032983e+03, 2.31748633e+04
-1.49439676e-02, -5.39215701e-03, 5.55528048e-03, 4.60417786e+02, -2.71050488e+03, 1.55812549e+03, 2.45790977e+04
-1.49439676e-02, -5.39215701e-03, 6.25484716e-03, 4.77759155e+02, -2.54008301e+03, 1.44752197e+03, 2.33202852e+04
-1.49439676e-02, -6.37254911e-03, 5.55528048e-03, 4.58842682e+02, -2.70381055e+03, 1.62549890e+03, 2.47448203e+04
-1.49439676e-02, -6.37254911e-03, 6.25484716e-03, 4.76306885e+02, -2.53752612e+03, 1.50627783e+03, 2.34765781e+04
-1.49439676e-02, -7.35294120e-03, 5.55528048e-03, 4.57219055e+02, -2.69448145e+03, 1.68967847e+03, 2.49209785e+04
-1.49439676e-02, -7.35294120e-03, 6.25484716e-03, 4.74799988e+02, -2.53333154e+03, 1.56490283e+03, 2.36422520e+04
-1.49439676e-02, -8.33333377e-03, 5.55528048e-03, 4.55517365e+02, -2.68317676e+03, 1.75355334e+03, 2.51036738e+04
-1.49439676e-02, -8.33333377e-03, 6.25484716e-03, 4.73232330e+02, -2.52769287e+03, 1.62435962e+03, 2.38157188e+04
-1.49439676e-02, -9.31372587e-03, 5.55528048e-03, 4.53764893e+02, -2.67084204e+03, 1.81933459e+03, 2.52910684e+04
-1.49439676e-02, -9.31372587e-03, 6.25484716e-03, 4.71607727e+02, -2.52077539e+03, 1.68641821e+03, 2.39964414e+04
-1.49439676e-02, -1.02941180e-02, 5.55528048e-03, 4.51931976e+02, -2.65699902e+03, 1.89733069e+03, 2.54868945e+04
-1.49439676e-02, -1.02941180e-02, 6.25484716e-03, 4.69916809e+02, -2.51236914e+03, 1.75552905e+03, 2.41866953e+04
-1.49439676e-02, -1.12745101e-02, 5.55528048e-03, 4.50025909e+02, -2.64086450e+03, 1.98161389e+03, 2.56944883e+04
-1.49439676e-02, -1.12745101e-02, 6.25484716e-03, 4.68156006e+02, -2.50210132e+03, 1.83138672e+03, 2.43897773e+04
-1.49439676e-02, -1.22549022e-02, 5.55528048e-03, 4.48024353e+02, -2.62152979e+03, 2.08532153e+03, 2.59199531e+04
-1.49439676e-02, -1.22549022e-02, 6.25484716e-03, 4.66314819e+02, -2.48956543e+03, 1.91827930e+03, 2.46105938e+04
-1.49439676e-02, -1.32352943e-02, 5.55528048e-03, 4.45912842e+02, -2.59822144e+03, 2.19876221e+03, 2.61705742e+04
-1.49439676e-02, -1.32352943e-02, 6.25484716e-03, 4.64383179e+02, -2.47437891e+03, 2.01378271e+03, 2.48549766e+04
-1.49439676e-02, -1.42156873e-02, 5.55528048e-03, 4.43686798e+02, -2.57118018e+03, 2.33206689e+03, 2.64537832e+04
-1.49439676e-02, -1.42156864e-02, 6.25484716e-03, 4.62353516e+02, -2.45640991e+03, 2.12025122e+03, 2.51294121e+04
-1.49439676e-02, -1.51960785e-02, 5.55528048e-03, 4.41310822e+02, -2.54047314e+03, 2.47793188e+03, 2.67815234e+04
-1.49439676e-02, -1.51960785e-02, 6.25484716e-03, 4.60213013e+02, -2.43551440e+03, 2.23367041e+03, 2.54416270e+04
-1.49439676e-02, -1.61764715e-02, 5.55528048e-03, 4.38799225e+02, -2.50561841e+03, 2.62844946e+03, 2.71590801e+04
-1.49439676e-02, -1.61764715e-02, 6.25484716e-03, 4.57960968e+02, -2.41140283e+03, 2.34984180e+03, 2.57969004e+04
-1.49439676e-02, -1.71568636e-02, 5.55528048e-03, 4.36125031e+02, -2.46624707e+03, 2.77905005e+03, 2.75856914e+04
-1.49439676e-02, -1.71568636e-02, 6.25484716e-03, 4.55591797e+02, -2.38392432e+03, 2.46619336e+03, 2.61994492e+04
-1.49439676e-02, -1.81372557e-02, 5.55528048e-03, 4.33308533e+02, -2.42182544e+03, 2.94185718e+03, 2.80663203e+04
-1.49439676e-02, -1.81372557e-02, 6.25484716e-03, 4.53108978e+02, -2.35275806e+03, 2.58551563e+03, 2.66578379e+04
-1.49439676e-02, -1.91176478e-02, 5.55528048e-03, 4.30305176e+02, -2.37146631e+03, 3.13487280e+03, 2.86267461e+04
-1.49439676e-02, -1.91176478e-02, 6.25484716e-03, 4.50503143e+02, -2.31740820e+03, 2.71096362e+03, 2.71921660e+04
-1.49439676e-02, -2.00980399e-02, 5.55528048e-03, 4.27100830e+02, -2.31321875e+03, 3.35385059e+03, 2.93086719e+04
-1.49439676e-02, -2.00980399e-02, 6.25484716e-03, 4.47774780e+02, -2.27717676e+03, 2.83310791e+03, 2.78340371e+04
-1.49439676e-02, -2.10784320e-02, 5.55528048e-03, 4.23659302e+02, -2.24592236e+03, 3.60609497e+03, 3.01829434e+04
-1.49439676e-02, -2.10784320e-02, 6.25484716e-03, 4.44934570e+02, -2.23165527e+03, 2.93161182e+03, 2.86293594e+04
-1.49439676e-02, -2.20588222e-02, 5.55528048e-03, 4.19961334e+02, -2.16879883e+03, 3.84778955e+03, 3.13707188e+04
-1.49439676e-02, -2.20588241e-02, 6.25484716e-03, 4.42033203e+02, -2.18082959e+03, 2.94166504e+03, 2.96352539e+04
-1.49439676e-02, -2.30392180e-02, 5.55528048e-03, 4.16091797e+02, -2.08045605e+03, 3.96428564e+03, 3.30732383e+04
-1.49439676e-02, -2.30392162e-02, 6.25484716e-03, 4.39224731e+02, -2.12586719e+03, 2.71583203e+03, 3.08857656e+04
-1.49439676e-02, -2.40196101e-02, 5.55528048e-03, 4.12372955e+02, -1.98626172e+03, 3.40721265e+03, 3.54212109e+04
-1.49439676e-02, -2.40196083e-02, 6.25484716e-03, 4.36876007e+02, -2.07368701e+03, 1.90729883e+03, 3.22268438e+04
-1.49439676e-02, -2.50000004e-02, 5.55528048e-03, 4.10127136e+02, -1.93916431e+03, 2.84185645e+03, 3.67570977e+04
-1.49439676e-02, -2.50000004e-02, 6.25484716e-03, 4.35770142e+02, -2.04971899e+03, 1.29562769e+03, 3.28802930e+04
-1.49439676e-02, 2.40196101e-02, 5.55528048e-03, 4.87994598e+02, -2.64462061e+03, 1.71672806e+02, 2.12118535e+04
-1.49439676e-02, 2.50000004e-02, 5.55528048e-03, 4.88075348e+02, -2.64433545e+03, 7.43400803e+01, 2.11859336e+04
-1.49439676e-02, 2.50000004e-02, 6.25484716e-03, 5.03056702e+02, -2.43496729e+03, 6.76463013e+01, 2.01852617e+04
-1.49439676e-02, 2.40196083e-02, 6.25484716e-03, 5.02989685e+02, -2.43515015e+03, 1.37853119e+02, 2.02059141e+04
-1.49439676e-02, 2.30392180e-02, 5.55528048e-03, 4.87739136e+02, -2.64498999e+03, 3.38987122e+02, 2.12965801e+04
-1.49439676e-02, 2.30392162e-02, 6.25484716e-03, 5.02788727e+02, -2.43553394e+03, 2.66030945e+02, 2.02671055e+04
-1.49439676e-02, 2.20588222e-02, 5.55528048e-03, 4.87342896e+02, -2.64511011e+03, 4.46451019e+02, 2.14188203e+04
-1.49439676e-02, 2.20588241e-02, 6.25484716e-03, 5.02474884e+02, -2.43615186e+03, 3.64843933e+02, 2.03563105e+04
-1.49439676e-02, 2.10784320e-02, 5.55528048e-03, 4.86867798e+02, -2.64523218e+03, 5.17087830e+02, 2.15410020e+04
-1.49439676e-02, 2.10784320e-02, 6.25484716e-03, 5.02078552e+02, -2.43723999e+03, 4.38778259e+02, 2.04547715e+04
-1.49439676e-02, 2.00980399e-02, 5.55528048e-03, 4.86326050e+02, -2.64585864e+03, 5.76462158e+02, 2.16576387e+04
-1.49439676e-02, 2.00980399e-02, 6.25484716e-03, 5.01616394e+02, -2.43899219e+03, 4.98669891e+02, 2.05547031e+04
-1.49439676e-02, 1.91176478e-02, 5.55528048e-03, 4.85732666e+02, -2.64776343e+03, 6.21441711e+02, 2.17697266e+04
-1.49439676e-02, 1.91176478e-02, 6.25484716e-03, 5.01101105e+02, -2.44158960e+03, 5.47349365e+02, 2.06538965e+04
-1.49439676e-02, 1.81372557e-02, 5.55528048e-03, 4.85101166e+02, -2.65120093e+03, 6.65293579e+02, 2.18784219e+04
-1.49439676e-02, 1.81372557e-02, 6.25484716e-03, 5.00541809e+02, -2.44507910e+03, 5.90830444e+02, 2.07522344e+04
-1.49439676e-02, 1.71568636e-02, 5.55528048e-03, 4.84420563e+02, -2.65524756e+03, 7.03256042e+02, 2.19872988e+04
-1.49439676e-02, 1.71568636e-02, 6.25484716e-03, 4.99940857e+02, -2.44922339e+03, 6.28842163e+02, 2.08508379e+04
-1.49439676e-02, 1.61764715e-02, 5.55528048e-03, 4.83716064e+02, -2.65925757e+03, 7.37222900e+02, 2.20963242e+04
-1.49439676e-02, 1.61764715e-02, 6.25484716e-03, 4.99306885e+02, -2.45379028e+03, 6.62520508e+02, 2.09496270e+04
-1.49439676e-02, 1.51960785e-02, 5.55528048e-03, 4.82969543e+02, -2.66376978e+03, 7.64964050e+02, 2.22044863e+04
-1.49439676e-02, 1.51960785e-02, 6.25484716e-03, 4.98639893e+02, -2.45884961e+03, 6.91555908e+02, 2.10479043e+04
-1.49439676e-02, 1.42156873e-02, 5.55528048e-03, 4.82209534e+02, -2.66906299e+03, 7.86650696e+02, 2.23084707e+04
-1.49439676e-02, 1.42156864e-02, 6.25484716e-03, 4.97948608e+02, -2.46437891e+03, 7.16685181e+02, 2.11440781e+04
-1.49439676e-02, 1.32352943e-02, 5.55528048e-03, 4.81419556e+02, -2.67497681e+03, 8.09587585e+02, 2.24082480e+04
-1.49439676e-02, 1.32352943e-02, 6.25484716e-03, 4.97231628e+02, -2.47026709e+03, 7.41063721e+02, 2.12379219e+04
-1.49439676e-02, 1.22549022e-02, 5.55528048e-03, 4.80613770e+02, -2.68082324e+03, 8.31188171e+02, 2.25049121e+04
-1.49439676e-02, 1.22549022e-02, 6.25484716e-03, 4.96492218e+02, -2.47626245e+03, 7.64881714e+02, 2.13299961e+04
-1.49439676e-02, 1.12745101e-02, 5.55528048e-03, 4.79781555e+02, -2.68603662e+03, 8.57604187e+02, 2.26003516e+04
-1.49439676e-02, 1.12745101e-02, 6.25484716e-03, 4.95728027e+02, -2.48219287e+03, 7.90532837e+02, 2.14213555e+04
-1.49439676e-02, 1.02941180e-02, 5.55528048e-03, 4.78923462e+02, -2.69092676e+03, 8.81671265e+02, 2.26946504e+04
-1.49439676e-02, 1.02941180e-02, 6.25484716e-03, 4.94938477e+02, -2.48805371e+03, 8.16416260e+02, 2.15125938e+04
-1.49439676e-02, 9.31372587e-03, 5.55528048e-03, 4.78043335e+02, -2.69601807e+03, 9.14009583e+02, 2.27895410e+04
-1.49439676e-02, 9.31372587e-03, 6.25484716e-03, 4.94122894e+02, -2.49388428e+03, 8.45789673e+02, 2.16049531e+04
-1.49439676e-02, 8.33333377e-03, 5.55528048e-03, 4.77122375e+02, -2.70119019e+03, 9.47916687e+02, 2.28896016e+04
-1.49439676e-02, 8.33333377e-03, 6.25484716e-03, 4.93276184e+02, -2.49965039e+03, 8.76465088e+02, 2.17005195e+04
-1.49439676e-02, 7.35294120e-03, 5.55528048e-03, 4.76177124e+02, -2.70607666e+03, 9.83434631e+02, 2.29960488e+04
-1.49439676e-02, 7.35294120e-03, 6.25484716e-03, 4.92400757e+02, -2.50525098e+03, 9.07679688e+02, 2.17998359e+04
-1.49439676e-02, 6.37254911e-03, 5.55528048e-03, 4.75186829e+02, -2.71051343e+03, 1.01190106e+03, 2.31059297e+04
-1.49439676e-02, 6.37254911e-03, 6.25484716e-03, 4.91493469e+02, -2.51060059e+03, 9.36257202e+02, 2.19014492e+04
-1.49439676e-02, 5.39215701e-03, 5.55528048e-03, 4.74185791e+02, -2.71430005e+03, 1.03645557e+03, 2.32133691e+04
-1.49439676e-02, 5.39215701e-03, 6.25484716e-03, 4.90561859e+02, -2.51555640e+03, 9.63126282e+02, 2.20024336e+04
-1.49439676e-02, 4.41176491e-03, 5.55528048e-03, 4.73147736e+02, -2.71750879e+03, 1.06249768e+03, 2.33173320e+04
-1.49439676e-02, 4.41176491e-03, 6.25484716e-03, 4.89601288e+02, -2.52016357e+03, 9.90907043e+02, 2.21015273e+04
-1.49439676e-02, 3.43137234e-03, 5.55528048e-03, 4.72094147e+02, -2.71974658e+03, 1.08441663e+03, 2.34128926e+04
-1.49439676e-02, 3.43137258e-03, 6.25484716e-03, 4.88614563e+02, -2.52436768e+03, 1.02004492e+03, 2.21973984e+04
-1.49439676e-02, 2.45098048e-03, 5.55528048e-03, 4.71008270e+02, -2.72068579e+03, 1.12393054e+03, 2.35012813e+04
-1.49439676e-02, 2.45098048e-03, 6.25484716e-03, 4.87594666e+02, -2.52805713e+03, 1.05887231e+03, 2.22924336e+04
-1.49439676e-02, 1.47058826e-03, 5.55528048e-03, 4.69874298e+02, -2.72085474e+03, 1.18939758e+03, 2.36022012e+04
-1.49439676e-02, 1.47058826e-03, 6.25484716e-03, 4.86531158e+02, -2.53128906e+03, 1.10970776e+03, 2.23957344e+04
-1.49439676e-02, -1.91176459e-02, -1.99999996e-02, 6.68716553e+02, -8.92561401e+02, 1.98092461e+01, -1.16173799e+04
-1.49439676e-02, -1.81372557e-02, -1.99999996e-02, 6.68722351e+02, -8.95243469e+02, 7.24656448e+01, -1.15309463e+04
-1.49439676e-02, -1.81372557e-02, -1.89999994e-02, 6.57180542e+02, -9.92076599e+02, 1.13932327e+02, -1.16328701e+04
-1.49439676e-02, -1.91176459e-02, -1.89999994e-02, 6.57092529e+02, -9.89245605e+02, 6.38355522e+01, -1.17166865e+04
-1.49439676e-02, -2.00980399e-02, -1.99999996e-02, 6.68771790e+02, -8.85690491e+02, -2.30513401e+01, -1.17085459e+04
-1.49439676e-02, -2.00980399e-02, -1.89999994e-02, 6.57051270e+02, -9.83341736e+02, 2.14491253e+01, -1.18034775e+04
-1.49439676e-02, -2.10784320e-02, -1.99999996e-02, 6.68860535e+02, -8.75605347e+02, -4.88403893e+01, -1.17968574e+04
-1.49439676e-02, -2.10784320e-02, -1.89999994e-02, 6.57045410e+02, -9.74821594e+02, -8.11328506e+00, -1.18870303e+04
-1.49439676e-02, -2.20588241e-02, -1.99999996e-02, 6.68949524e+02, -8.61777588e+02, -6.16196060e+01, -1.18745322e+04
-1.49439676e-02, -2.20588241e-02, -1.89999994e-02, 6.57061707e+02, -9.63716309e+02, -2.68381119e+01, -1.19610615e+04
-1.49439676e-02, -2.30392162e-02, -1.99999996e-02, 6.69041931e+02, -8.46882996e+02, -7.04020767e+01, -1.19435693e+04
-1.49439676e-02, -2.30392162e-02, -1.89999994e-02, 6.57092651e+02, -9.52162476e+02, -3.97578735e+01, -1.20252041e+04
-1.49439676e-02, -2.40196083e-02, -1.99999996e-02, 6.69149109e+02, -8.35342957e+02, -6.65384674e+01, -1.20099307e+04
-1.49439676e-02, -2.40196083e-02, -1.89999994e-02, 6.57131531e+02, -9.43353149e+02, -4.05405426e+01, -1.20807363e+04
-1.49439676e-02, -2.50000004e-02, -1.89999994e-02, 6.57156982e+02, -9.40076843e+02, -3.57868767e+01, -1.21062275e+04
-1.49439676e-02, -2.50000004e-02, -1.99999996e-02, 6.69238220e+02, -8.31045654e+02, -5.82795563e+01, -1.20428779e+04
-1.49439676e-02, -1.91176459e-02, -1.79999992e-02, 6.45264221e+02, -1.18502429e+03, 1.49524094e+02, -1.19409424e+04
-1.49439676e-02, -1.81372557e-02, -1.79999992e-02, 6.45433716e+02, -1.18790527e+03, 1.96106445e+02, -1.18601875e+04
-1.49439676e-02, -2.00980399e-02, -1.79999992e-02, 6.45138672e+02, -1.18069556e+03, 1.06639160e+02, -1.20216787e+04
-1.49439676e-02, -2.10784320e-02, -1.79999992e-02, 6.45052246e+02, -1.17488782e+03, 6.98660049e+01, -1.20980898e+04
-1.49439676e-02, -2.20588241e-02, -1.79999992e-02, 6.44998291e+02, -1.16812402e+03, 3.97302856e+01, -1.21657783e+04
-1.49439676e-02, -2.30392162e-02, -1.79999992e-02, 6.44970642e+02, -1.16163037e+03, 1.59554129e+01, -1.22215176e+04
-1.49439676e-02, -2.40196083e-02, -1.79999992e-02, 6.44962280e+02, -1.15687524e+03, 1.22022402e+00, -1.22615518e+04
-1.49439676e-02, -2.50000004e-02, -1.79999992e-02, 6.44962891e+02, -1.15511743e+03, -3.23247290e+00, -1.22770117e+04
-1.49439676e-02, -1.81372557e-02, -1.70000009e-02, 6.33433472e+02, -1.38544202e+03, 2.78631195e+02, -1.21403037e+04
-1.49439676e-02, -1.91176459e-02, -1.70000009e-02, 6.33182678e+02, -1.38292139e+03, 2.32756638e+02, -1.22220566e+04
-1.49439676e-02, -2.00980399e-02, -1.70000009e-02, 6.32976990e+02, -1.37967163e+03, 1.86956253e+02, -1.23016602e+04
-1.49439676e-02, -2.10784320e-02, -1.70000009e-02, 6.32815369e+02, -1.37574146e+03, 1.42822037e+02, -1.23755098e+04
-1.49439676e-02, -2.20588241e-02, -1.70000009e-02, 6.32695618e+02, -1.37151208e+03, 1.01327301e+02, -1.24397432e+04
-1.49439676e-02, -2.30392162e-02, -1.70000009e-02, 6.32614929e+02, -1.36765210e+03, 6.31194992e+01, -1.24906309e+04
-1.49439676e-02, -2.40196083e-02, -1.70000009e-02, 6.32569702e+02, -1.36491016e+03, 2.92429371e+01, -1.25243086e+04
-1.49439676e-02, -2.50000004e-02, -1.70000009e-02, 6.32555664e+02, -1.36391052e+03, 1.35600071e+01, -1.25363350e+04
-1.49439676e-02, -1.91176459e-02, -1.60000008e-02, 6.20786072e+02, -1.57872986e+03, 3.17912567e+02, -1.25709746e+04
-1.49439676e-02, -1.81372557e-02, -1.60000008e-02, 6.21120972e+02, -1.58072168e+03, 3.65096741e+02, -1.24844697e+04
-1.49439676e-02, -2.00980399e-02, -1.60000008e-02, 6.20499207e+02, -1.57630579e+03, 2.67481842e+02, -1.26538027e+04
-1.49439676e-02, -2.10784320e-02, -1.60000008e-02, 6.20262695e+02, -1.57356543e+03, 2.14872971e+02, -1.27295313e+04
-1.49439676e-02, -2.20588241e-02, -1.60000008e-02, 6.20078430e+02, -1.57077185e+03, 1.60976074e+02, -1.27944238e+04
-1.49439676e-02, -2.30392162e-02, -1.60000008e-02, 6.19947266e+02, -1.56831934e+03, 1.06671425e+02, -1.28447158e+04
-1.49439676e-02, -2.40196083e-02, -1.60000008e-02, 6.19869141e+02, -1.56663306e+03, 5.28742905e+01, -1.28769004e+04
-1.49439676e-02, -2.50000004e-02, -1.60000008e-02, 6.19843262e+02, -1.56603125e+03, 2.62153969e+01, -1.28880537e+04
-1.49439676e-02, -1.81372557e-02, -1.49999997e-02, 6.08425964e+02, -1.77142749e+03, 4.59030853e+02, -1.29050918e+04
-1.49439676e-02, -1.91176459e-02, -1.49999997e-02, 6.08000305e+02, -1.76989490e+03, 4.09261902e+02, -1.30002383e+04
-1.49439676e-02, -2.00980399e-02, -1.49999997e-02, 6.07626709e+02, -1.76804895e+03, 3.52940155e+02, -1.30907490e+04
-1.49439676e-02, -2.10784320e-02, -1.49999997e-02, 6.07311279e+02, -1.76602966e+03, 2.90602661e+02, -1.31730410e+04
-1.49439676e-02, -2.20588241e-02, -1.49999997e-02, 6.07059509e+02, -1.76403918e+03, 2.22931274e+02, -1.32431436e+04
-1.49439676e-02, -2.30392162e-02, -1.49999997e-02, 6.06876221e+02, -1.76233875e+03, 1.50984421e+02, -1.32970371e+04
-1.49439676e-02, -2.40196083e-02, -1.49999997e-02, 6.06764893e+02, -1.76119824e+03, 7.61744995e+01, -1.33311387e+04
-1.49439676e-02, -2.50000004e-02, -1.49999997e-02, 6.06727539e+02, -1.76079956e+03, 3.82468567e+01, -1.33428438e+04
-1.49439676e-02, -1.32352943e-02, -1.99999996e-02, 6.69612000e+02, -8.98249573e+02, 2.96979919e+02, -1.12550664e+04
-1.49439676e-02, -1.22549031e-02, -1.99999996e-02, 6.69882385e+02, -8.98839722e+02, 3.10107513e+02, -1.12066865e+04
-1.49439676e-02, -1.22549031e-02, -1.89999994e-02, 6.58664001e+02, -9.97606628e+02, 3.36711914e+02, -1.12845576e+04
-1.49439676e-02, -1.32352943e-02, -1.89999994e-02, 6.58341431e+02, -9.97296509e+02, 3.22967194e+02, -1.13361172e+04
-1.49439676e-02, -1.42156864e-02, -1.99999996e-02, 6.69354431e+02, -8.98049988e+02, 2.78089783e+02, -1.12993438e+04
-1.49439676e-02, -1.42156864e-02, -1.89999994e-02, 6.58035278e+02, -9.96898071e+02, 3.02668365e+02, -1.13856914e+04
-1.49439676e-02, -1.51960785e-02, -1.99999996e-02, 6.69103333e+02, -8.96238525e+02, 2.43037872e+02, -1.13423691e+04
-1.49439676e-02, -1.51960785e-02, -1.89999994e-02, 6.57753418e+02, -9.95284790e+02, 2.69274231e+02, -1.14355107e+04
-1.49439676e-02, -1.61764715e-02, -1.99999996e-02, 6.68911804e+02, -8.94101013e+02, 1.93325958e+02, -1.13920596e+04
-1.49439676e-02, -1.61764715e-02, -1.89999994e-02, 6.57511780e+02, -9.93276672e+02, 2.23743881e+02, -1.14910547e+04
-1.49439676e-02, -1.71568636e-02, -1.99999996e-02, 6.68777832e+02, -8.94033997e+02, 1.32965164e+02, -1.14544268e+04
-1.49439676e-02, -1.71568636e-02, -1.89999994e-02, 6.57318481e+02, -9.92359192e+02, 1.69348602e+02, -1.15565459e+04
-1.49439676e-02, -1.32352943e-02, -1.79999992e-02, 6.46910645e+02, -1.19470996e+03, 3.79128876e+02, -1.15240049e+04
-1.49439676e-02, -1.22549031e-02, -1.79999992e-02, 6.47289001e+02, -1.19440820e+03, 3.93166809e+02, -1.14651563e+04
-1.49439676e-02, -1.42156864e-02, -1.79999992e-02, 6.46549438e+02, -1.19436548e+03, 3.57923431e+02, -1.15836621e+04
-1.49439676e-02, -1.51960785e-02, -1.79999992e-02, 6.46213074e+02, -1.19325098e+03, 3.27783783e+02, -1.16453779e+04
-1.49439676e-02, -1.61764715e-02, -1.79999992e-02, 6.45910645e+02, -1.19162048e+03, 2.89082947e+02, -1.17112559e+04
-1.49439676e-02, -1.71568636e-02, -1.79999992e-02, 6.45649292e+02, -1.18985730e+03, 2.43872345e+02, -1.17828848e+04
-1.49439676e-02, -1.22549031e-02, -1.70000009e-02, 6.35706970e+02, -1.38934094e+03, 4.56930115e+02, -1.16986045e+04
-1.49439676e-02, -1.32352943e-02, -1.70000009e-02, 6.35265442e+02, -1.39029883e+03, 4.44012512e+02, -1.17658799e+04
-1.49439676e-02, -1.42156864e-02, -1.70000009e-02, 6.34839844e+02, -1.39052124e+03, 4.24346558e+02, -1.18349541e+04
-1.49439676e-02, -1.51960785e-02, -1.70000009e-02, 6.34437012e+02, -1.39002417e+03, 3.97259369e+02, -1.19064727e+04
-1.49439676e-02, -1.61764715e-02, -1.70000009e-02, 6.34064331e+02, -1.38893335e+03, 3.62997559e+02, -1.19811719e+04
-1.49439676e-02, -1.71568636e-02, -1.70000009e-02, 6.33728210e+02, -1.38739587e+03, 3.22765381e+02, -1.20593535e+04
-1.49439676e-02, -1.32352943e-02, -1.60000008e-02, 6.23348511e+02, -1.58294421e+03, 5.18108582e+02, -1.20675098e+04
-1.49439676e-02, -1.22549031e-02, -1.60000008e-02, 6.23861816e+02, -1.58139331e+03, 5.29080383e+02, -1.19914063e+04
-1.49439676e-02, -1.42156864e-02, -1.60000008e-02, 6.22849121e+02, -1.58375781e+03, 5.00759003e+02, -1.21459932e+04
-1.49439676e-02, -1.51960785e-02, -1.60000008e-02, 6.22369995e+02, -1.58386035e+03, 4.76535858e+02, -1.22271123e+04
-1.49439676e-02, -1.61764715e-02, -1.60000008e-02, 6.21918091e+02, -1.58333105e+03, 4.45432983e+02, -1.23109531e+04
-1.49439676e-02, -1.71568636e-02, -1.60000008e-02, 6.21499817e+02, -1.58226257e+03, 4.07964142e+02, -1.23971211e+04
-1.49439676e-02, -1.22549031e-02, -1.49999997e-02, 6.11689697e+02, -1.76930981e+03, 6.10130066e+02, -1.23522568e+04
-1.49439676e-02, -1.32352943e-02, -1.49999997e-02, 6.11095642e+02, -1.77133899e+03, 6.01834167e+02, -1.24376953e+04
-1.49439676e-02, -1.42156864e-02, -1.49999997e-02, 6.10512756e+02, -1.77263843e+03, 5.87338257e+02, -1.25261768e+04
-1.49439676e-02, -1.51960785e-02, -1.49999997e-02, 6.09947388e+02, -1.77322961e+03, 5.66051147e+02, -1.26176973e+04
